ID:1, Name:Natividad, Major:CHE, Enrollment:No, Year:Freshman, Age:21
ID:25, Name:Aedin, Major:CS, Enrollment:No, Year:Sophomore, Age:20
ID:26, Name:Sayuri, Major:CHE, Enrollment:No, Year:Junior, Age:22
ID:27, Name:Miro, Major:BME, Enrollment:Yes, Year:Freshman, Age:18
ID:28, Name:Bradly, Major:ECE, Enrollment:No, Year:Junior, Age:20
ID:29, Name:Meridian, Major:CHE, Enrollment:No, Year:Junior, Age:21
ID:30, Name:Cherilyn, Major:CS, Enrollment:No, Year:Freshman, Age:19
ID:31, Name:Michaelanthony, Major:CHE, Enrollment:Yes, Year:Freshman, Age:18
ID:32, Name:Zhane, Major:ME, Enrollment:Yes, Year:Senior, Age:18
ID:33, Name:Mehjabeen, Major:IE, Enrollment:No, Year:Senior, Age:18
ID:34, Name:Aizen, Major:AA, Enrollment:Yes, Year:Senior, Age:22
ID:35, Name:Keliah, Major:ECE, Enrollment:No, Year:Senior, Age:20
ID:36, Name:Malhar, Major:IE, Enrollment:No, Year:Senior, Age:21
ID:37, Name:Juandavid, Major:ECE, Enrollment:Yes, Year:Freshman, Age:21
ID:38, Name:Rayleigh, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:20
ID:39, Name:Jocee, Major:IE, Enrollment:No, Year:Junior, Age:21
ID:40, Name:Jayln, Major:BME, Enrollment:Yes, Year:Senior, Age:21
ID:41, Name:Emily, Major:CS, Enrollment:Yes, Year:Senior, Age:19
ID:42, Name:Nitara, Major:IE, Enrollment:Yes, Year:Senior, Age:19
ID:43, Name:Evleen, Major:CS, Enrollment:Yes, Year:Freshman, Age:21
ID:44, Name:Raegyn, Major:CHE, Enrollment:Yes, Year:Senior, Age:19
ID:45, Name:Samanvi, Major:CS, Enrollment:Yes, Year:Senior, Age:22
ID:46, Name:Amirjon, Major:IE, Enrollment:Yes, Year:Freshman, Age:22
ID:47, Name:Samatar, Major:IE, Enrollment:No, Year:Freshman, Age:21
ID:48, Name:Collyn, Major:ECE, Enrollment:No, Year:Sophomore, Age:20
ID:49, Name:Evalisse, Major:CHE, Enrollment:No, Year:Freshman, Age:21
ID:50, Name:Sal, Major:IE, Enrollment:Yes, Year:Junior, Age:22
ID:51, Name:Emmerie, Major:CS, Enrollment:Yes, Year:Freshman, Age:18
ID:52, Name:Keilynn, Major:CS, Enrollment:No, Year:Freshman, Age:20
ID:53, Name:Trisha, Major:AA, Enrollment:Yes, Year:Junior, Age:19
ID:54, Name:Analeigh, Major:AA, Enrollment:No, Year:Senior, Age:20
ID:55, Name:Sandy, Major:ECE, Enrollment:Yes, Year:Freshman, Age:22
ID:56, Name:Ramy, Major:CHE, Enrollment:No, Year:Freshman, Age:19
ID:57, Name:Findley, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:18
ID:58, Name:Amiyah, Major:CS, Enrollment:No, Year:Sophomore, Age:19
ID:59, Name:Jadah, Major:IE, Enrollment:No, Year:Sophomore, Age:21
ID:60, Name:Maxwel, Major:CHE, Enrollment:No, Year:Senior, Age:22
ID:61, Name:Virgil, Major:ABE, Enrollment:No, Year:Senior, Age:22
ID:62, Name:Micaela, Major:CHE, Enrollment:Yes, Year:Freshman, Age:18
ID:63, Name:Srinidhi, Major:CS, Enrollment:Yes, Year:Junior, Age:22
ID:64, Name:Benoit, Major:IE, Enrollment:Yes, Year:Senior, Age:21
ID:65, Name:Ruger, Major:AA, Enrollment:No, Year:Junior, Age:18
ID:66, Name:Vedanshi, Major:CHE, Enrollment:Yes, Year:Freshman, Age:20
ID:67, Name:Airess, Major:BME, Enrollment:No, Year:Sophomore, Age:22
ID:68, Name:Kyce, Major:AA, Enrollment:No, Year:Freshman, Age:18
ID:69, Name:Araia, Major:CHE, Enrollment:No, Year:Senior, Age:20
ID:70, Name:Pippi, Major:ECE, Enrollment:Yes, Year:Senior, Age:22
ID:71, Name:Kol, Major:CHE, Enrollment:No, Year:Senior, Age:21
ID:72, Name:Joelie, Major:BME, Enrollment:No, Year:Junior, Age:22
ID:73, Name:Rayhan, Major:CHE, Enrollment:Yes, Year:Freshman, Age:22
ID:74, Name:Sarra, Major:CHE, Enrollment:Yes, Year:Freshman, Age:20
ID:75, Name:Viera, Major:ABE, Enrollment:No, Year:Senior, Age:22
ID:76, Name:Gayatri, Major:CHE, Enrollment:Yes, Year:Senior, Age:21
ID:77, Name:Brayen, Major:AA, Enrollment:Yes, Year:Sophomore, Age:18
ID:78, Name:Braelyn, Major:BME, Enrollment:No, Year:Senior, Age:21
ID:79, Name:Marianna, Major:ECE, Enrollment:Yes, Year:Senior, Age:21
ID:80, Name:Lanah, Major:ABE, Enrollment:No, Year:Sophomore, Age:22
ID:81, Name:Riah, Major:CHE, Enrollment:No, Year:Freshman, Age:18
ID:82, Name:Aristotelis, Major:IE, Enrollment:Yes, Year:Sophomore, Age:21
ID:83, Name:Mariangel, Major:ABE, Enrollment:Yes, Year:Junior, Age:20
ID:84, Name:Colten, Major:ECE, Enrollment:No, Year:Sophomore, Age:22
ID:85, Name:Shani, Major:ECE, Enrollment:No, Year:Freshman, Age:21
ID:86, Name:Yeshia, Major:ABE, Enrollment:Yes, Year:Freshman, Age:21
ID:87, Name:Yafa, Major:CS, Enrollment:No, Year:Senior, Age:22
ID:88, Name:Abdulai, Major:BME, Enrollment:Yes, Year:Sophomore, Age:21
ID:89, Name:Dedrick, Major:BME, Enrollment:Yes, Year:Freshman, Age:21
ID:90, Name:Tessla, Major:ME, Enrollment:Yes, Year:Sophomore, Age:22
ID:91, Name:Azrael, Major:AA, Enrollment:Yes, Year:Freshman, Age:21
ID:92, Name:Brayshawn, Major:BME, Enrollment:Yes, Year:Freshman, Age:20
ID:93, Name:Samus, Major:BME, Enrollment:Yes, Year:Senior, Age:19
ID:94, Name:Chloe, Major:IE, Enrollment:Yes, Year:Sophomore, Age:21
ID:95, Name:Sahid, Major:CS, Enrollment:Yes, Year:Freshman, Age:20
ID:96, Name:Anmol, Major:ECE, Enrollment:Yes, Year:Senior, Age:20
ID:97, Name:Rhylee, Major:CHE, Enrollment:Yes, Year:Freshman, Age:20
ID:98, Name:Breighlyn, Major:CS, Enrollment:No, Year:Junior, Age:21
ID:99, Name:Sadieann, Major:CS, Enrollment:No, Year:Freshman, Age:22
ID:100, Name:Numa, Major:CS, Enrollment:Yes, Year:Senior, Age:22
ID:101, Name:Dianne, Major:IE, Enrollment:Yes, Year:Sophomore, Age:20
ID:102, Name:Chenxi, Major:CHE, Enrollment:Yes, Year:Freshman, Age:19
ID:103, Name:Aliani, Major:CHE, Enrollment:No, Year:Senior, Age:20
ID:104, Name:Kyen, Major:ABE, Enrollment:Yes, Year:Freshman, Age:19
ID:105, Name:Avis, Major:ECE, Enrollment:Yes, Year:Junior, Age:18
ID:106, Name:Farzona, Major:ME, Enrollment:Yes, Year:Freshman, Age:19
ID:107, Name:Maziya, Major:CHE, Enrollment:No, Year:Senior, Age:21
ID:108, Name:Aryan, Major:ECE, Enrollment:Yes, Year:Junior, Age:18
ID:109, Name:Jamarious, Major:ECE, Enrollment:No, Year:Freshman, Age:22
ID:110, Name:Ori, Major:ME, Enrollment:Yes, Year:Senior, Age:21
ID:111, Name:Yohandri, Major:AA, Enrollment:No, Year:Sophomore, Age:22
ID:112, Name:Alaysha, Major:ECE, Enrollment:No, Year:Sophomore, Age:20
ID:113, Name:Azayla, Major:ME, Enrollment:No, Year:Sophomore, Age:18
ID:114, Name:Shifra, Major:CS, Enrollment:Yes, Year:Sophomore, Age:20
ID:115, Name:Santiana, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:19
ID:116, Name:Melquisedec, Major:ME, Enrollment:No, Year:Junior, Age:21
ID:117, Name:Lamyiah, Major:BME, Enrollment:Yes, Year:Freshman, Age:18
ID:118, Name:Saryiah, Major:AA, Enrollment:Yes, Year:Freshman, Age:19
ID:119, Name:Ellowyn, Major:ABE, Enrollment:Yes, Year:Junior, Age:21
ID:120, Name:Jacen, Major:ME, Enrollment:Yes, Year:Junior, Age:20
ID:121, Name:Geraldo, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:19
ID:122, Name:Natalia, Major:CS, Enrollment:No, Year:Freshman, Age:18
ID:123, Name:Zaylor, Major:AA, Enrollment:Yes, Year:Freshman, Age:18
ID:124, Name:Zayleah, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:18
ID:125, Name:Truett, Major:ABE, Enrollment:No, Year:Freshman, Age:20
ID:126, Name:Basel, Major:ABE, Enrollment:Yes, Year:Senior, Age:19
ID:127, Name:Everrett, Major:ME, Enrollment:Yes, Year:Sophomore, Age:21
ID:128, Name:Leolani, Major:BME, Enrollment:Yes, Year:Freshman, Age:22
ID:129, Name:Jayah, Major:CHE, Enrollment:Yes, Year:Junior, Age:20
ID:130, Name:Ramaya, Major:ECE, Enrollment:No, Year:Senior, Age:20
ID:131, Name:Kaheem, Major:ABE, Enrollment:Yes, Year:Freshman, Age:22
ID:132, Name:Salah, Major:IE, Enrollment:No, Year:Junior, Age:19
ID:133, Name:Arilynn, Major:ECE, Enrollment:No, Year:Sophomore, Age:18
ID:134, Name:Trygve, Major:BME, Enrollment:Yes, Year:Senior, Age:18
ID:135, Name:Stellaluna, Major:ABE, Enrollment:No, Year:Junior, Age:19
ID:136, Name:Alys, Major:AA, Enrollment:No, Year:Freshman, Age:22
ID:137, Name:Asa, Major:ME, Enrollment:Yes, Year:Sophomore, Age:19
ID:138, Name:Hayleigh, Major:ECE, Enrollment:Yes, Year:Junior, Age:22
ID:139, Name:August, Major:CS, Enrollment:No, Year:Junior, Age:22
ID:140, Name:Shilo, Major:CS, Enrollment:Yes, Year:Sophomore, Age:21
ID:141, Name:Ilithyia, Major:AA, Enrollment:No, Year:Sophomore, Age:18
ID:142, Name:Gahan, Major:ECE, Enrollment:Yes, Year:Junior, Age:21
ID:143, Name:Aashirya, Major:CHE, Enrollment:Yes, Year:Senior, Age:18
ID:144, Name:Jaeshaun, Major:ABE, Enrollment:No, Year:Freshman, Age:22
ID:145, Name:Amorah, Major:IE, Enrollment:Yes, Year:Freshman, Age:21
ID:146, Name:Isileli, Major:AA, Enrollment:No, Year:Junior, Age:21
ID:147, Name:Saiyan, Major:ABE, Enrollment:No, Year:Freshman, Age:22
ID:148, Name:Kashlyn, Major:IE, Enrollment:No, Year:Junior, Age:18
ID:149, Name:Joylynn, Major:CS, Enrollment:No, Year:Freshman, Age:20
ID:150, Name:Yamajesty, Major:AA, Enrollment:Yes, Year:Senior, Age:19
ID:151, Name:Lema, Major:CS, Enrollment:No, Year:Sophomore, Age:18
ID:152, Name:Keslee, Major:ABE, Enrollment:Yes, Year:Freshman, Age:20
ID:153, Name:Auna, Major:AA, Enrollment:Yes, Year:Junior, Age:21
ID:154, Name:Brigg, Major:ABE, Enrollment:No, Year:Sophomore, Age:21
ID:155, Name:Damontay, Major:ECE, Enrollment:No, Year:Sophomore, Age:21
ID:156, Name:Jashun, Major:AA, Enrollment:Yes, Year:Junior, Age:21
ID:157, Name:Nereida, Major:AA, Enrollment:No, Year:Sophomore, Age:20
ID:158, Name:Odinn, Major:IE, Enrollment:No, Year:Senior, Age:18
ID:159, Name:Vansh, Major:ABE, Enrollment:No, Year:Junior, Age:19
ID:160, Name:Aiydan, Major:CHE, Enrollment:No, Year:Senior, Age:20
ID:161, Name:Haydon, Major:CHE, Enrollment:Yes, Year:Senior, Age:19
ID:162, Name:Drexler, Major:ABE, Enrollment:Yes, Year:Senior, Age:20
ID:163, Name:Anevay, Major:ME, Enrollment:Yes, Year:Senior, Age:19
ID:164, Name:Lexander, Major:ECE, Enrollment:No, Year:Senior, Age:20
ID:165, Name:Seleny, Major:ABE, Enrollment:No, Year:Freshman, Age:20
ID:166, Name:Kaylianna, Major:BME, Enrollment:No, Year:Senior, Age:20
ID:167, Name:Dominique, Major:CS, Enrollment:Yes, Year:Sophomore, Age:20
ID:168, Name:Suhaira, Major:ECE, Enrollment:No, Year:Senior, Age:21
ID:169, Name:Nikoli, Major:IE, Enrollment:No, Year:Sophomore, Age:21
ID:170, Name:Shilynn, Major:IE, Enrollment:Yes, Year:Sophomore, Age:22
ID:171, Name:Kanishk, Major:IE, Enrollment:No, Year:Freshman, Age:19
ID:172, Name:Lejend, Major:ME, Enrollment:Yes, Year:Senior, Age:18
ID:173, Name:Sonam, Major:CHE, Enrollment:No, Year:Freshman, Age:19
ID:174, Name:Adiel, Major:CS, Enrollment:Yes, Year:Freshman, Age:19
ID:175, Name:Micaella, Major:ABE, Enrollment:No, Year:Sophomore, Age:21
ID:176, Name:Damiyah, Major:CS, Enrollment:No, Year:Sophomore, Age:19
ID:177, Name:Jailene, Major:ABE, Enrollment:Yes, Year:Senior, Age:20
ID:178, Name:Karsyn, Major:ECE, Enrollment:No, Year:Junior, Age:22
ID:179, Name:Dee, Major:AA, Enrollment:No, Year:Sophomore, Age:20
ID:180, Name:Jaretzi, Major:BME, Enrollment:No, Year:Senior, Age:21
ID:181, Name:Nakaylah, Major:CHE, Enrollment:No, Year:Freshman, Age:20
ID:182, Name:Yisrael, Major:BME, Enrollment:No, Year:Senior, Age:22
ID:183, Name:Kyler, Major:ECE, Enrollment:No, Year:Freshman, Age:19
ID:184, Name:Jazier, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:18
ID:185, Name:Azaylia, Major:ECE, Enrollment:No, Year:Sophomore, Age:22
ID:186, Name:Macyn, Major:IE, Enrollment:Yes, Year:Sophomore, Age:22
ID:187, Name:Ambrosia, Major:BME, Enrollment:No, Year:Sophomore, Age:18
ID:188, Name:Marine, Major:ECE, Enrollment:No, Year:Sophomore, Age:18
ID:189, Name:Daeson, Major:BME, Enrollment:No, Year:Senior, Age:18
ID:190, Name:Berel, Major:ECE, Enrollment:No, Year:Senior, Age:19
ID:191, Name:Jovonte, Major:ME, Enrollment:No, Year:Freshman, Age:18
ID:192, Name:Terrianna, Major:CHE, Enrollment:Yes, Year:Senior, Age:22
ID:193, Name:Denilson, Major:BME, Enrollment:No, Year:Freshman, Age:18
ID:194, Name:Lou, Major:ECE, Enrollment:Yes, Year:Freshman, Age:18
ID:195, Name:Tai, Major:ME, Enrollment:Yes, Year:Freshman, Age:21
ID:196, Name:Inari, Major:BME, Enrollment:Yes, Year:Junior, Age:21
ID:197, Name:Raedyn, Major:BME, Enrollment:No, Year:Sophomore, Age:19
ID:198, Name:Remick, Major:ECE, Enrollment:No, Year:Senior, Age:21
ID:199, Name:Kaimani, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:18
ID:200, Name:Lovely, Major:BME, Enrollment:No, Year:Freshman, Age:21
