ID:1000, Name:Blessyn, Major:CS, Enrollment:No, Year:Senior, Age:17
ID:789, Name:Amit, Major:IE, Enrollment:No, Year:Senior, Age:20
ID:171, Name:Amyia, Major:BME, Enrollment:No, Year:Freshman, Age:22
ID:30, Name:Ananda, Major:ME, Enrollment:No, Year:Senior, Age:23
ID:519, Name:Analei, Major:CS, Enrollment:Yes, Year:Senior, Age:29
ID:774, Name:Andraya, Major:ME, Enrollment:Yes, Year:Sophomore, Age:15
ID:565, Name:Asaya, Major:CS, Enrollment:Yes, Year:Freshman, Age:18
ID:465, Name:Arabellah, Major:ME, Enrollment:No, Year:Senior, Age:20
ID:826, Name:Anzar, Major:ABE, Enrollment:No, Year:Senior, Age:16
ID:523, Name:Anusha, Major:CS, Enrollment:No, Year:Freshman, Age:26
ID:522, Name:Anureet, Major:BME, Enrollment:Yes, Year:Sophomore, Age:18
ID:415, Name:Antonius, Major:ECE, Enrollment:Yes, Year:Freshman, Age:24
ID:891, Name:Annlee, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:28
ID:550, Name:Anyah, Major:ECE, Enrollment:No, Year:Sophomore, Age:29
ID:780, Name:Ara, Major:ECE, Enrollment:No, Year:Junior, Age:11
ID:687, Name:Ariyonna, Major:IE, Enrollment:No, Year:Freshman, Age:18
ID:746, Name:Arissa, Major:ECE, Enrollment:No, Year:Sophomore, Age:26
ID:138, Name:Argenis, Major:ABE, Enrollment:No, Year:Senior, Age:28
ID:52, Name:Arishka, Major:CHE, Enrollment:No, Year:Sophomore, Age:17
ID:461, Name:Ariza, Major:CS, Enrollment:Yes, Year:Freshman, Age:28
ID:654, Name:Ashur, Major:CHE, Enrollment:No, Year:Junior, Age:25
ID:235, Name:Ashlin, Major:ABE, Enrollment:Yes, Year:Senior, Age:27
ID:477, Name:Aubreyrose, Major:AA, Enrollment:Yes, Year:Junior, Age:14
ID:877, Name:Atharva, Major:ME, Enrollment:Yes, Year:Junior, Age:23
ID:75, Name:Aubri, Major:ME, Enrollment:Yes, Year:Senior, Age:27
ID:875, Name:Aysha, Major:IE, Enrollment:No, Year:Sophomore, Age:26
ID:56, Name:Averiee, Major:AA, Enrollment:No, Year:Senior, Age:28
ID:84, Name:Avalina, Major:ABE, Enrollment:Yes, Year:Senior, Age:22
ID:66, Name:Auriya, Major:ME, Enrollment:No, Year:Freshman, Age:27
ID:154, Name:Aunya, Major:AA, Enrollment:Yes, Year:Senior, Age:26
ID:921, Name:Avaiah, Major:CS, Enrollment:No, Year:Freshman, Age:26
ID:557, Name:Avaline, Major:AA, Enrollment:No, Year:Junior, Age:22
ID:199, Name:Aveena, Major:BME, Enrollment:Yes, Year:Senior, Age:25
ID:82, Name:Ayrianna, Major:AA, Enrollment:No, Year:Freshman, Age:19
ID:321, Name:Ayela, Major:CHE, Enrollment:Yes, Year:Senior, Age:19
ID:585, Name:Avlyn, Major:BME, Enrollment:No, Year:Junior, Age:26
ID:551, Name:Avnoor, Major:AA, Enrollment:No, Year:Junior, Age:17
ID:531, Name:Avrielle, Major:ABE, Enrollment:No, Year:Senior, Age:14
ID:527, Name:Avrey, Major:BME, Enrollment:No, Year:Junior, Age:19
ID:554, Name:Ayriana, Major:CS, Enrollment:Yes, Year:Senior, Age:17
ID:402, Name:Aylin, Major:ECE, Enrollment:No, Year:Sophomore, Age:22
ID:886, Name:Aysa, Major:AA, Enrollment:Yes, Year:Freshman, Age:28
ID:389, Name:Bailie, Major:ECE, Enrollment:No, Year:Junior, Age:21
ID:512, Name:Azyia, Major:BME, Enrollment:Yes, Year:Senior, Age:11
ID:949, Name:Ayson, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:17
ID:779, Name:Azhar, Major:ME, Enrollment:Yes, Year:Freshman, Age:12
ID:152, Name:Azar, Major:IE, Enrollment:No, Year:Sophomore, Age:22
ID:866, Name:Azeriah, Major:IE, Enrollment:Yes, Year:Sophomore, Age:16
ID:451, Name:Basil, Major:ME, Enrollment:Yes, Year:Senior, Age:26
ID:61, Name:Barack, Major:ABE, Enrollment:Yes, Year:Junior, Age:16
ID:46, Name:Barett, Major:BME, Enrollment:Yes, Year:Sophomore, Age:29
ID:819, Name:Bautista, Major:CS, Enrollment:No, Year:Sophomore, Age:26
ID:753, Name:Batu, Major:ME, Enrollment:No, Year:Sophomore, Age:15
ID:211, Name:Beauty, Major:CS, Enrollment:Yes, Year:Junior, Age:26
ID:230, Name:Bjorn, Major:IE, Enrollment:No, Year:Junior, Age:26
ID:757, Name:Bette, Major:CS, Enrollment:Yes, Year:Junior, Age:24
ID:722, Name:Beaux, Major:IE, Enrollment:No, Year:Senior, Age:24
ID:510, Name:Bernabe, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:19
ID:665, Name:Benzion, Major:IE, Enrollment:No, Year:Senior, Age:18
ID:576, Name:Bentzion, Major:IE, Enrollment:Yes, Year:Sophomore, Age:18
ID:744, Name:Blakelie, Major:CHE, Enrollment:No, Year:Sophomore, Age:12
ID:76, Name:Blakelyn, Major:BME, Enrollment:No, Year:Sophomore, Age:22
ID:169, Name:Hyatt, Major:IE, Enrollment:Yes, Year:Junior, Age:28
ID:431, Name:Eleftheria, Major:ME, Enrollment:No, Year:Sophomore, Age:20
ID:311, Name:Dominico, Major:CHE, Enrollment:No, Year:Junior, Age:12
ID:65, Name:Braydon, Major:BME, Enrollment:No, Year:Freshman, Age:19
ID:702, Name:Braelen, Major:BME, Enrollment:Yes, Year:Sophomore, Age:27
ID:197, Name:Bohdi, Major:IE, Enrollment:Yes, Year:Freshman, Age:19
ID:146, Name:Bora, Major:ABE, Enrollment:Yes, Year:Senior, Age:29
ID:732, Name:Braedyn, Major:CHE, Enrollment:No, Year:Freshman, Age:17
ID:957, Name:Brason, Major:ECE, Enrollment:No, Year:Junior, Age:25
ID:979, Name:Caidence, Major:ECE, Enrollment:No, Year:Junior, Age:21
ID:506, Name:Bryliee, Major:CS, Enrollment:Yes, Year:Freshman, Age:17
ID:28, Name:Briant, Major:AA, Enrollment:Yes, Year:Freshman, Age:21
ID:328, Name:Breon, Major:CHE, Enrollment:No, Year:Junior, Age:29
ID:277, Name:Brix, Major:ECE, Enrollment:No, Year:Senior, Age:10
ID:704, Name:Bristyl, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:29
ID:453, Name:British, Major:AA, Enrollment:No, Year:Junior, Age:22
ID:509, Name:Brixton, Major:ECE, Enrollment:No, Year:Sophomore, Age:22
ID:871, Name:Bryer, Major:ECE, Enrollment:No, Year:Junior, Age:11
ID:586, Name:Brodie, Major:ME, Enrollment:No, Year:Sophomore, Age:28
ID:832, Name:Briyelle, Major:AA, Enrollment:No, Year:Freshman, Age:26
ID:605, Name:Cadence, Major:IE, Enrollment:No, Year:Junior, Age:18
ID:40, Name:Burton, Major:CS, Enrollment:Yes, Year:Sophomore, Age:12
ID:434, Name:Bryson, Major:CHE, Enrollment:No, Year:Freshman, Age:22
ID:944, Name:Dane, Major:AA, Enrollment:No, Year:Sophomore, Age:27
ID:247, Name:Colman, Major:CHE, Enrollment:No, Year:Senior, Age:28
ID:861, Name:Caidon, Major:CHE, Enrollment:Yes, Year:Freshman, Age:26
ID:484, Name:Chevy, Major:ABE, Enrollment:Yes, Year:Freshman, Age:14
ID:151, Name:Catcher, Major:AA, Enrollment:No, Year:Freshman, Age:20
ID:638, Name:Casia, Major:CHE, Enrollment:No, Year:Junior, Age:12
ID:767, Name:Cainon, Major:AA, Enrollment:Yes, Year:Junior, Age:23
ID:799, Name:Carrington, Major:ECE, Enrollment:Yes, Year:Freshman, Age:28
ID:304, Name:Caleb, Major:AA, Enrollment:No, Year:Sophomore, Age:19
ID:851, Name:Cavanaugh, Major:BME, Enrollment:No, Year:Sophomore, Age:23
ID:689, Name:Cherish, Major:CHE, Enrollment:Yes, Year:Senior, Age:15
ID:563, Name:Chaarvi, Major:CHE, Enrollment:Yes, Year:Junior, Age:14
ID:701, Name:Chayce, Major:AA, Enrollment:Yes, Year:Senior, Age:23
ID:217, Name:Chanler, Major:ME, Enrollment:Yes, Year:Freshman, Age:24
ID:892, Name:Colden, Major:CS, Enrollment:No, Year:Freshman, Age:20
ID:488, Name:Chrisander, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:29
ID:346, Name:Chisom, Major:AA, Enrollment:No, Year:Freshman, Age:27
ID:600, Name:Claudine, Major:BME, Enrollment:Yes, Year:Senior, Age:16
ID:296, Name:Clarita, Major:ABE, Enrollment:Yes, Year:Freshman, Age:16
ID:409, Name:Cinch, Major:CS, Enrollment:Yes, Year:Senior, Age:15
ID:966, Name:Corine, Major:CS, Enrollment:No, Year:Sophomore, Age:17
ID:751, Name:Conner, Major:ME, Enrollment:No, Year:Junior, Age:22
ID:727, Name:Cooper, Major:ABE, Enrollment:No, Year:Sophomore, Age:24
ID:993, Name:Damiah, Major:ABE, Enrollment:No, Year:Sophomore, Age:10
ID:468, Name:Dak, Major:CS, Enrollment:Yes, Year:Senior, Age:19
ID:974, Name:Daena, Major:CHE, Enrollment:No, Year:Sophomore, Age:23
ID:283, Name:Cyprus, Major:ABE, Enrollment:Yes, Year:Senior, Age:22
ID:472, Name:Cortland, Major:CS, Enrollment:No, Year:Freshman, Age:14
ID:673, Name:Cruzito, Major:ECE, Enrollment:No, Year:Junior, Age:21
ID:762, Name:Daisey, Major:AA, Enrollment:No, Year:Freshman, Age:20
ID:802, Name:Dalian, Major:ABE, Enrollment:Yes, Year:Junior, Age:14
ID:19, Name:Dakiya, Major:BME, Enrollment:No, Year:Junior, Age:22
ID:133, Name:Daxon, Major:IE, Enrollment:No, Year:Sophomore, Age:25
ID:721, Name:Dasani, Major:BME, Enrollment:Yes, Year:Junior, Age:19
ID:308, Name:Dariah, Major:ME, Enrollment:No, Year:Freshman, Age:20
ID:111, Name:Dareen, Major:ME, Enrollment:Yes, Year:Freshman, Age:12
ID:502, Name:Daryel, Major:AA, Enrollment:No, Year:Senior, Age:26
ID:141, Name:Darrick, Major:ME, Enrollment:Yes, Year:Sophomore, Age:27
ID:525, Name:Darleen, Major:CHE, Enrollment:Yes, Year:Senior, Age:29
ID:3, Name:Dawsyn, Major:ECE, Enrollment:No, Year:Freshman, Age:15
ID:686, Name:Davone, Major:AA, Enrollment:No, Year:Junior, Age:11
ID:43, Name:Davinity, Major:CHE, Enrollment:Yes, Year:Junior, Age:21
ID:587, Name:Dex, Major:IE, Enrollment:No, Year:Freshman, Age:16
ID:724, Name:Denylah, Major:ME, Enrollment:No, Year:Sophomore, Age:12
ID:835, Name:Daxter, Major:BME, Enrollment:Yes, Year:Sophomore, Age:12
ID:708, Name:Deiondre, Major:ABE, Enrollment:Yes, Year:Junior, Age:14
ID:55, Name:Deason, Major:CHE, Enrollment:Yes, Year:Senior, Age:17
ID:843, Name:Dea, Major:ME, Enrollment:No, Year:Sophomore, Age:12
ID:652, Name:Daysi, Major:IE, Enrollment:Yes, Year:Junior, Age:13
ID:285, Name:Dema, Major:CHE, Enrollment:No, Year:Junior, Age:26
ID:792, Name:Delan, Major:AA, Enrollment:No, Year:Senior, Age:27
ID:35, Name:Delwin, Major:ECE, Enrollment:No, Year:Junior, Age:11
ID:300, Name:Dermot, Major:AA, Enrollment:Yes, Year:Junior, Age:28
ID:648, Name:Dereon, Major:ECE, Enrollment:Yes, Year:Junior, Age:11
ID:161, Name:Destina, Major:BME, Enrollment:No, Year:Senior, Age:16
ID:955, Name:Derrion, Major:ME, Enrollment:Yes, Year:Freshman, Age:16
ID:677, Name:Dmarcus, Major:ECE, Enrollment:No, Year:Sophomore, Age:23
ID:371, Name:Diedrich, Major:AA, Enrollment:No, Year:Sophomore, Age:14
ID:137, Name:Divyansh, Major:ABE, Enrollment:No, Year:Sophomore, Age:14
ID:275, Name:Drezden, Major:AA, Enrollment:No, Year:Junior, Age:27
ID:822, Name:Douglass, Major:ME, Enrollment:No, Year:Junior, Age:19
ID:348, Name:Edna, Major:BME, Enrollment:Yes, Year:Junior, Age:21
ID:499, Name:Eddin, Major:CS, Enrollment:Yes, Year:Junior, Age:12
ID:532, Name:Dvonte, Major:AA, Enrollment:Yes, Year:Sophomore, Age:28
ID:836, Name:Dynver, Major:ABE, Enrollment:Yes, Year:Freshman, Age:19
ID:456, Name:Dyana, Major:IE, Enrollment:No, Year:Junior, Age:14
ID:658, Name:Earvin, Major:ABE, Enrollment:No, Year:Senior, Age:25
ID:552, Name:Eirini, Major:CHE, Enrollment:Yes, Year:Junior, Age:18
ID:418, Name:Eirini, Major:IE, Enrollment:No, Year:Junior, Age:28
ID:971, Name:Eilis, Major:IE, Enrollment:No, Year:Junior, Age:11
ID:41, Name:Eero, Major:CHE, Enrollment:No, Year:Senior, Age:26
ID:243, Name:Eldad, Major:ME, Enrollment:Yes, Year:Junior, Age:15
ID:952, Name:Ekansh, Major:CS, Enrollment:No, Year:Junior, Age:15
ID:703, Name:Fadi, Major:ECE, Enrollment:Yes, Year:Senior, Age:10
ID:571, Name:Esraa, Major:AA, Enrollment:No, Year:Senior, Age:12
ID:100, Name:Elmer, Major:IE, Enrollment:Yes, Year:Junior, Age:21
ID:562, Name:Elliemay, Major:CS, Enrollment:No, Year:Senior, Age:15
ID:383, Name:Ellenora, Major:IE, Enrollment:Yes, Year:Junior, Age:27
ID:452, Name:Eleni, Major:ABE, Enrollment:No, Year:Senior, Age:16
ID:241, Name:Ellijah, Major:AA, Enrollment:No, Year:Freshman, Age:28
ID:458, Name:Esmond, Major:BME, Enrollment:No, Year:Senior, Age:24
ID:216, Name:Emnet, Major:CS, Enrollment:Yes, Year:Senior, Age:23
ID:933, Name:Elston, Major:CS, Enrollment:No, Year:Junior, Age:25
ID:962, Name:Elmira, Major:IE, Enrollment:Yes, Year:Junior, Age:14
ID:272, Name:Eloni, Major:ABE, Enrollment:No, Year:Sophomore, Age:10
ID:738, Name:Emilygrace, Major:ME, Enrollment:No, Year:Freshman, Age:18
ID:907, Name:Emiah, Major:ME, Enrollment:Yes, Year:Sophomore, Age:21
ID:675, Name:Emeka, Major:CS, Enrollment:No, Year:Junior, Age:18
ID:733, Name:Emberlin, Major:ME, Enrollment:No, Year:Freshman, Age:26
ID:228, Name:Elvis, Major:ME, Enrollment:Yes, Year:Senior, Age:18
ID:778, Name:Emilyann, Major:IE, Enrollment:No, Year:Sophomore, Age:10
ID:489, Name:Emika, Major:ME, Enrollment:No, Year:Freshman, Age:16
ID:884, Name:Emnet, Major:ABE, Enrollment:No, Year:Freshman, Age:16
ID:128, Name:Emmit, Major:BME, Enrollment:Yes, Year:Sophomore, Age:10
ID:501, Name:Erianna, Major:BME, Enrollment:Yes, Year:Freshman, Age:29
ID:189, Name:Enna, Major:AA, Enrollment:No, Year:Freshman, Age:11
ID:745, Name:Emuna, Major:IE, Enrollment:Yes, Year:Senior, Age:17
ID:539, Name:Enok, Major:CS, Enrollment:Yes, Year:Freshman, Age:25
ID:854, Name:Eriyana, Major:CS, Enrollment:No, Year:Sophomore, Age:14
ID:340, Name:Evander, Major:CS, Enrollment:Yes, Year:Sophomore, Age:15
ID:68, Name:Eugene, Major:ECE, Enrollment:Yes, Year:Freshman, Age:10
ID:12, Name:Evoleth, Major:ABE, Enrollment:No, Year:Sophomore, Age:20
ID:450, Name:Eveah, Major:BME, Enrollment:No, Year:Sophomore, Age:21
ID:326, Name:Evangelos, Major:BME, Enrollment:No, Year:Senior, Age:17
ID:167, Name:Everette, Major:IE, Enrollment:No, Year:Freshman, Age:16
ID:785, Name:Exavier, Major:CHE, Enrollment:No, Year:Sophomore, Age:21
ID:365, Name:Exavier, Major:BME, Enrollment:No, Year:Senior, Age:29
ID:226, Name:Ezel, Major:IE, Enrollment:Yes, Year:Senior, Age:21
ID:572, Name:Greyton, Major:IE, Enrollment:Yes, Year:Senior, Age:29
ID:516, Name:Gissele, Major:ABE, Enrollment:Yes, Year:Freshman, Age:17
ID:666, Name:Geno, Major:ABE, Enrollment:No, Year:Senior, Age:24
ID:210, Name:Fe, Major:CHE, Enrollment:No, Year:Junior, Age:25
ID:37, Name:Gareth, Major:ME, Enrollment:Yes, Year:Junior, Age:21
ID:986, Name:Freddy, Major:BME, Enrollment:Yes, Year:Freshman, Age:20
ID:845, Name:Foster, Major:IE, Enrollment:Yes, Year:Freshman, Age:18
ID:206, Name:Garren, Major:AA, Enrollment:No, Year:Junior, Age:17
ID:910, Name:Gideon, Major:AA, Enrollment:No, Year:Freshman, Age:21
ID:719, Name:Geonna, Major:CS, Enrollment:Yes, Year:Sophomore, Age:27
ID:601, Name:Gerald, Major:ABE, Enrollment:No, Year:Freshman, Age:20
ID:573, Name:Gillian, Major:AA, Enrollment:No, Year:Sophomore, Age:15
ID:322, Name:Gioni, Major:AA, Enrollment:No, Year:Junior, Age:26
ID:190, Name:Gracen, Major:ME, Enrollment:Yes, Year:Junior, Age:22
ID:375, Name:Greyson, Major:CHE, Enrollment:Yes, Year:Junior, Age:19
ID:438, Name:Grady, Major:ECE, Enrollment:Yes, Year:Junior, Age:17
ID:788, Name:Grecia, Major:AA, Enrollment:No, Year:Junior, Age:21
ID:628, Name:Greyson, Major:IE, Enrollment:No, Year:Senior, Age:26
ID:166, Name:Greer, Major:AA, Enrollment:No, Year:Senior, Age:29
ID:345, Name:Henya, Major:IE, Enrollment:Yes, Year:Junior, Age:26
ID:668, Name:Hadlea, Major:IE, Enrollment:Yes, Year:Senior, Age:26
ID:168, Name:Heartlee, Major:AA, Enrollment:No, Year:Sophomore, Age:22
ID:942, Name:Halimatou, Major:ME, Enrollment:Yes, Year:Senior, Age:23
ID:301, Name:Hawkeye, Major:ABE, Enrollment:No, Year:Freshman, Age:18
ID:537, Name:Harry, Major:ABE, Enrollment:Yes, Year:Freshman, Age:22
ID:399, Name:Hana, Major:AA, Enrollment:No, Year:Sophomore, Age:20
ID:912, Name:Hanifa, Major:IE, Enrollment:Yes, Year:Sophomore, Age:21
ID:526, Name:Harlyn, Major:AA, Enrollment:Yes, Year:Senior, Age:12
ID:860, Name:Harjot, Major:AA, Enrollment:No, Year:Junior, Age:10
ID:660, Name:Haydin, Major:BME, Enrollment:No, Year:Sophomore, Age:21
ID:969, Name:Hayle, Major:ME, Enrollment:No, Year:Sophomore, Age:16
ID:11, Name:Herick, Major:AA, Enrollment:Yes, Year:Junior, Age:28
ID:786, Name:Hidaya, Major:AA, Enrollment:No, Year:Junior, Age:25
ID:623, Name:Heron, Major:CHE, Enrollment:Yes, Year:Senior, Age:28
ID:776, Name:Huxley, Major:BME, Enrollment:No, Year:Sophomore, Age:10
ID:232, Name:Hueston, Major:CS, Enrollment:Yes, Year:Sophomore, Age:19
ID:20, Name:Hidayah, Major:ME, Enrollment:Yes, Year:Senior, Age:13
ID:194, Name:Huckleberry, Major:AA, Enrollment:No, Year:Junior, Age:24
ID:535, Name:Homer, Major:ME, Enrollment:No, Year:Junior, Age:26
ID:580, Name:Holland, Major:ME, Enrollment:Yes, Year:Sophomore, Age:10
ID:880, Name:Hooria, Major:CHE, Enrollment:Yes, Year:Junior, Age:18
ID:242, Name:Hugh, Major:ECE, Enrollment:No, Year:Sophomore, Age:18
ID:246, Name:Hung, Major:ME, Enrollment:No, Year:Junior, Age:16
ID:634, Name:Husain, Major:CHE, Enrollment:Yes, Year:Freshman, Age:17
ID:428, Name:Lucile, Major:BME, Enrollment:Yes, Year:Junior, Age:11
ID:671, Name:Jermar, Major:ECE, Enrollment:No, Year:Senior, Age:13
ID:511, Name:Isa, Major:ME, Enrollment:Yes, Year:Junior, Age:27
ID:639, Name:Indio, Major:BME, Enrollment:No, Year:Junior, Age:25
ID:575, Name:Idriss, Major:BME, Enrollment:Yes, Year:Junior, Age:27
ID:758, Name:Ilsa, Major:IE, Enrollment:Yes, Year:Freshman, Age:11
ID:642, Name:Ilina, Major:IE, Enrollment:No, Year:Senior, Age:24
ID:370, Name:Irish, Major:CS, Enrollment:No, Year:Sophomore, Age:28
ID:153, Name:Indiya, Major:ABE, Enrollment:No, Year:Freshman, Age:15
ID:1, Name:Indy, Major:CS, Enrollment:Yes, Year:Senior, Age:25
ID:981, Name:Irah, Major:AA, Enrollment:Yes, Year:Senior, Age:20
ID:694, Name:Janiyah, Major:BME, Enrollment:No, Year:Junior, Age:10
ID:361, Name:Jailey, Major:ABE, Enrollment:No, Year:Freshman, Age:16
ID:603, Name:Jadalyn, Major:CS, Enrollment:Yes, Year:Sophomore, Age:28
ID:103, Name:Isac, Major:ME, Enrollment:No, Year:Senior, Age:15
ID:881, Name:Izma, Major:IE, Enrollment:Yes, Year:Senior, Age:28
ID:165, Name:Ismael, Major:ABE, Enrollment:No, Year:Junior, Age:21
ID:870, Name:Iyanah, Major:ME, Enrollment:Yes, Year:Freshman, Age:17
ID:514, Name:Ivani, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:25
ID:840, Name:Jacier, Major:CHE, Enrollment:No, Year:Freshman, Age:12
ID:263, Name:Izora, Major:IE, Enrollment:Yes, Year:Junior, Age:18
ID:455, Name:Jai, Major:CS, Enrollment:No, Year:Sophomore, Age:29
ID:16, Name:Jahmier, Major:BME, Enrollment:No, Year:Sophomore, Age:23
ID:705, Name:Jadel, Major:IE, Enrollment:No, Year:Freshman, Age:29
ID:121, Name:Jael, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:13
ID:859, Name:Jaelianna, Major:ECE, Enrollment:Yes, Year:Junior, Age:28
ID:954, Name:Jahmeir, Major:ABE, Enrollment:Yes, Year:Junior, Age:28
ID:604, Name:Janese, Major:AA, Enrollment:Yes, Year:Junior, Age:17
ID:505, Name:Jakodi, Major:CS, Enrollment:No, Year:Junior, Age:24
ID:424, Name:Jaise, Major:AA, Enrollment:No, Year:Junior, Age:18
ID:528, Name:Jaimee, Major:CHE, Enrollment:No, Year:Sophomore, Age:13
ID:759, Name:Jamesyn, Major:IE, Enrollment:No, Year:Sophomore, Age:23
ID:709, Name:Jalan, Major:IE, Enrollment:No, Year:Senior, Age:12
ID:695, Name:Jaleia, Major:CHE, Enrollment:Yes, Year:Senior, Age:20
ID:915, Name:Jamyah, Major:BME, Enrollment:No, Year:Sophomore, Age:29
ID:651, Name:Jamier, Major:ABE, Enrollment:Yes, Year:Freshman, Age:15
ID:145, Name:Jasiyah, Major:CS, Enrollment:Yes, Year:Junior, Age:19
ID:772, Name:Janiyha, Major:ABE, Enrollment:No, Year:Freshman, Age:21
ID:577, Name:Jeramie, Major:BME, Enrollment:Yes, Year:Freshman, Age:13
ID:653, Name:Jeovanni, Major:BME, Enrollment:Yes, Year:Junior, Age:17
ID:62, Name:Jaxtyn, Major:ME, Enrollment:No, Year:Junior, Age:25
ID:214, Name:Jasmen, Major:ME, Enrollment:Yes, Year:Freshman, Age:29
ID:224, Name:Javontay, Major:CHE, Enrollment:Yes, Year:Freshman, Age:15
ID:622, Name:Javaeh, Major:ECE, Enrollment:Yes, Year:Junior, Age:21
ID:900, Name:Jasreet, Major:AA, Enrollment:Yes, Year:Senior, Age:21
ID:941, Name:Jemini, Major:IE, Enrollment:Yes, Year:Junior, Age:10
ID:116, Name:Jayon, Major:CS, Enrollment:No, Year:Freshman, Age:20
ID:617, Name:Jayln, Major:ABE, Enrollment:No, Year:Sophomore, Age:28
