ID:494, Name:Aliyan, Major:ECE, Enrollment:No, Year:Sophomore, Age:10
ID:47, Name:Kaydence, Major:CHE, Enrollment:Yes, Year:Freshman, Age:12
ID:164, Name:Piers, Major:ME, Enrollment:Yes, Year:Senior, Age:12
ID:588, Name:Harbor, Major:AA, Enrollment:No, Year:Sophomore, Age:12
ID:437, Name:Gibran, Major:ME, Enrollment:Yes, Year:Sophomore, Age:12
ID:46, Name:Tayte, Major:AA, Enrollment:No, Year:Sophomore, Age:12
ID:121, Name:Fyodor, Major:ECE, Enrollment:Yes, Year:Junior, Age:12
ID:16, Name:Oakes, Major:CS, Enrollment:No, Year:Freshman, Age:12
ID:124, Name:Yailen, Major:AA, Enrollment:Yes, Year:Junior, Age:12
ID:134, Name:Ivis, Major:IE, Enrollment:Yes, Year:Junior, Age:12
ID:129, Name:Jenine, Major:ME, Enrollment:Yes, Year:Junior, Age:12
ID:378, Name:Blanca, Major:ABE, Enrollment:Yes, Year:Junior, Age:12
ID:491, Name:Elizabet, Major:ME, Enrollment:No, Year:Junior, Age:12
ID:335, Name:Aleck, Major:BME, Enrollment:Yes, Year:Freshman, Age:12
ID:178, Name:Johnryan, Major:ECE, Enrollment:No, Year:Freshman, Age:12
ID:624, Name:Hiba, Major:ECE, Enrollment:No, Year:Junior, Age:12
ID:76, Name:Kaion, Major:AA, Enrollment:Yes, Year:Sophomore, Age:12
ID:34, Name:Fannie, Major:ME, Enrollment:No, Year:Junior, Age:12
ID:1, Name:Alexza, Major:ABE, Enrollment:No, Year:Senior, Age:12
ID:579, Name:Marjory, Major:AA, Enrollment:Yes, Year:Junior, Age:12
ID:576, Name:Norlan, Major:IE, Enrollment:Yes, Year:Sophomore, Age:12
ID:64, Name:Adeola, Major:ME, Enrollment:No, Year:Freshman, Age:12
ID:130, Name:Brayla, Major:BME, Enrollment:Yes, Year:Junior, Age:13
ID:254, Name:Anmay, Major:CHE, Enrollment:No, Year:Senior, Age:13
ID:119, Name:Satvika, Major:BME, Enrollment:Yes, Year:Freshman, Age:13
ID:421, Name:Mckenzee, Major:CHE, Enrollment:No, Year:Freshman, Age:13
ID:528, Name:Jazell, Major:BME, Enrollment:Yes, Year:Freshman, Age:13
ID:165, Name:Zyler, Major:IE, Enrollment:No, Year:Sophomore, Age:13
ID:401, Name:Kenon, Major:ME, Enrollment:Yes, Year:Senior, Age:13
ID:393, Name:Arica, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:13
ID:66, Name:Zylus, Major:CHE, Enrollment:No, Year:Freshman, Age:13
ID:587, Name:Jozelyn, Major:AA, Enrollment:Yes, Year:Freshman, Age:13
ID:450, Name:Ellamay, Major:AA, Enrollment:No, Year:Senior, Age:13
ID:75, Name:Ajmal, Major:ECE, Enrollment:No, Year:Junior, Age:13
ID:74, Name:Tashvi, Major:AA, Enrollment:Yes, Year:Freshman, Age:13
ID:71, Name:Kenisha, Major:AA, Enrollment:No, Year:Junior, Age:13
ID:410, Name:Kerina, Major:ME, Enrollment:Yes, Year:Sophomore, Age:13
ID:192, Name:Rishon, Major:IE, Enrollment:No, Year:Junior, Age:13
ID:487, Name:Yanely, Major:IE, Enrollment:No, Year:Freshman, Age:13
ID:208, Name:Wanda, Major:CHE, Enrollment:Yes, Year:Freshman, Age:13
ID:272, Name:Raffaella, Major:ME, Enrollment:Yes, Year:Sophomore, Age:13
ID:106, Name:Mackay, Major:ECE, Enrollment:Yes, Year:Freshman, Age:13
ID:568, Name:Reston, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:13
ID:578, Name:Ai, Major:ECE, Enrollment:No, Year:Junior, Age:13
ID:623, Name:Kareena, Major:IE, Enrollment:No, Year:Senior, Age:13
ID:497, Name:Potter, Major:AA, Enrollment:No, Year:Junior, Age:13
ID:552, Name:Kaisei, Major:CHE, Enrollment:No, Year:Senior, Age:13
ID:197, Name:Nuchem, Major:BME, Enrollment:Yes, Year:Senior, Age:13
ID:113, Name:Davidjames, Major:CS, Enrollment:No, Year:Senior, Age:13
ID:270, Name:Erika, Major:CS, Enrollment:No, Year:Junior, Age:13
ID:181, Name:Amatullah, Major:CHE, Enrollment:No, Year:Freshman, Age:13
ID:223, Name:Gisela, Major:IE, Enrollment:No, Year:Junior, Age:14
ID:591, Name:Treyvin, Major:CS, Enrollment:Yes, Year:Junior, Age:14
ID:152, Name:Luka, Major:AA, Enrollment:No, Year:Junior, Age:14
ID:324, Name:Deegan, Major:ECE, Enrollment:Yes, Year:Senior, Age:14
ID:433, Name:Jayvan, Major:BME, Enrollment:No, Year:Junior, Age:14
ID:229, Name:Royden, Major:CS, Enrollment:Yes, Year:Sophomore, Age:14
ID:411, Name:Pradyun, Major:AA, Enrollment:Yes, Year:Senior, Age:14
ID:431, Name:Giavonni, Major:ECE, Enrollment:No, Year:Sophomore, Age:14
ID:416, Name:Leelin, Major:IE, Enrollment:Yes, Year:Junior, Age:14
ID:594, Name:Elana, Major:AA, Enrollment:Yes, Year:Freshman, Age:14
ID:292, Name:Phanuel, Major:BME, Enrollment:Yes, Year:Freshman, Age:14
ID:111, Name:Brandtley, Major:ECE, Enrollment:No, Year:Senior, Age:14
ID:370, Name:Cyree, Major:BME, Enrollment:No, Year:Junior, Age:14
ID:86, Name:Krissa, Major:CHE, Enrollment:Yes, Year:Freshman, Age:14
ID:480, Name:Arhaam, Major:ABE, Enrollment:No, Year:Sophomore, Age:14
ID:336, Name:Severin, Major:ME, Enrollment:No, Year:Sophomore, Age:14
ID:60, Name:Oksana, Major:BME, Enrollment:Yes, Year:Sophomore, Age:14
ID:171, Name:Seleny, Major:CS, Enrollment:No, Year:Junior, Age:14
ID:299, Name:Juliet, Major:ME, Enrollment:No, Year:Junior, Age:14
ID:346, Name:Zaiah, Major:CHE, Enrollment:No, Year:Junior, Age:14
ID:395, Name:Veruca, Major:ME, Enrollment:No, Year:Sophomore, Age:14
ID:54, Name:Kellar, Major:AA, Enrollment:No, Year:Freshman, Age:14
ID:19, Name:Mandalynn, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:14
ID:574, Name:Kyler, Major:IE, Enrollment:No, Year:Freshman, Age:14
ID:389, Name:Camia, Major:ME, Enrollment:Yes, Year:Sophomore, Age:14
ID:629, Name:Kyngsten, Major:CHE, Enrollment:Yes, Year:Freshman, Age:14
ID:123, Name:Mari, Major:ECE, Enrollment:No, Year:Senior, Age:14
ID:525, Name:Jaylin, Major:ME, Enrollment:Yes, Year:Sophomore, Age:14
ID:17, Name:Kendry, Major:ABE, Enrollment:No, Year:Junior, Age:14
ID:177, Name:Seanmichael, Major:IE, Enrollment:No, Year:Senior, Age:15
ID:301, Name:Annetta, Major:BME, Enrollment:Yes, Year:Sophomore, Age:15
ID:304, Name:Tanika, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:15
ID:293, Name:Ammara, Major:AA, Enrollment:Yes, Year:Freshman, Age:15
ID:290, Name:Jamai, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:15
ID:325, Name:Amaliah, Major:ABE, Enrollment:Yes, Year:Junior, Age:15
ID:306, Name:Eleen, Major:AA, Enrollment:Yes, Year:Senior, Age:15
ID:604, Name:Chaney, Major:ME, Enrollment:No, Year:Freshman, Age:15
ID:238, Name:Azelynn, Major:CS, Enrollment:No, Year:Freshman, Age:15
ID:383, Name:Abree, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:15
ID:404, Name:Anajulia, Major:CHE, Enrollment:No, Year:Sophomore, Age:15
ID:285, Name:Nevaeh, Major:ABE, Enrollment:Yes, Year:Freshman, Age:15
ID:280, Name:Maksim, Major:ABE, Enrollment:Yes, Year:Senior, Age:15
ID:276, Name:Rayln, Major:AA, Enrollment:Yes, Year:Freshman, Age:15
ID:67, Name:Christin, Major:AA, Enrollment:Yes, Year:Senior, Age:15
ID:563, Name:Elleanora, Major:AA, Enrollment:Yes, Year:Freshman, Age:15
ID:581, Name:Lilliannah, Major:ABE, Enrollment:No, Year:Freshman, Age:15
ID:82, Name:Keimoni, Major:ECE, Enrollment:Yes, Year:Senior, Age:15
ID:143, Name:Menaal, Major:CS, Enrollment:No, Year:Freshman, Age:15
ID:590, Name:Faraday, Major:ME, Enrollment:Yes, Year:Senior, Age:15
ID:170, Name:Rene, Major:ABE, Enrollment:No, Year:Freshman, Age:15
ID:59, Name:Edilberto, Major:AA, Enrollment:Yes, Year:Senior, Age:15
ID:155, Name:Jadamarie, Major:BME, Enrollment:Yes, Year:Senior, Age:15
ID:490, Name:Leslee, Major:ME, Enrollment:No, Year:Sophomore, Age:15
ID:611, Name:Grae, Major:BME, Enrollment:Yes, Year:Freshman, Age:16
ID:498, Name:Zebediah, Major:ME, Enrollment:No, Year:Senior, Age:16
ID:358, Name:Kathleen, Major:ME, Enrollment:No, Year:Senior, Age:16
ID:548, Name:Anella, Major:IE, Enrollment:Yes, Year:Freshman, Age:16
ID:95, Name:Mellie, Major:CS, Enrollment:No, Year:Senior, Age:16
ID:45, Name:Nino, Major:IE, Enrollment:Yes, Year:Sophomore, Age:16
ID:259, Name:Danica, Major:ME, Enrollment:Yes, Year:Junior, Age:16
ID:420, Name:Zyliyah, Major:CS, Enrollment:No, Year:Freshman, Age:16
ID:501, Name:Yabdiel, Major:BME, Enrollment:No, Year:Senior, Age:16
ID:8, Name:Giorgia, Major:BME, Enrollment:Yes, Year:Sophomore, Age:16
ID:29, Name:Ravya, Major:AA, Enrollment:Yes, Year:Freshman, Age:16
ID:157, Name:Emmalie, Major:BME, Enrollment:Yes, Year:Sophomore, Age:16
ID:27, Name:Shealynn, Major:IE, Enrollment:Yes, Year:Sophomore, Age:16
ID:380, Name:Rolland, Major:CHE, Enrollment:No, Year:Freshman, Age:16
ID:526, Name:Ainsley, Major:ECE, Enrollment:No, Year:Freshman, Age:16
ID:183, Name:Saadia, Major:ECE, Enrollment:Yes, Year:Junior, Age:16
ID:235, Name:Coyer, Major:CHE, Enrollment:No, Year:Senior, Age:16
ID:329, Name:Damyah, Major:AA, Enrollment:No, Year:Junior, Age:16
ID:571, Name:Milli, Major:BME, Enrollment:Yes, Year:Senior, Age:16
ID:35, Name:Clancy, Major:CHE, Enrollment:Yes, Year:Freshman, Age:16
ID:318, Name:Anquan, Major:BME, Enrollment:No, Year:Sophomore, Age:16
ID:72, Name:Cahlil, Major:ME, Enrollment:Yes, Year:Senior, Age:16
ID:140, Name:Said, Major:ME, Enrollment:Yes, Year:Freshman, Age:16
ID:467, Name:Carleton, Major:CS, Enrollment:No, Year:Freshman, Age:16
ID:61, Name:Karrina, Major:ECE, Enrollment:No, Year:Senior, Age:16
ID:460, Name:Emanuel, Major:AA, Enrollment:No, Year:Sophomore, Age:16
ID:84, Name:Jesalyn, Major:AA, Enrollment:No, Year:Freshman, Age:16
ID:456, Name:Esequiel, Major:ME, Enrollment:Yes, Year:Senior, Age:16
ID:88, Name:Amata, Major:IE, Enrollment:Yes, Year:Sophomore, Age:16
ID:297, Name:Adriauna, Major:ME, Enrollment:Yes, Year:Sophomore, Age:16
ID:198, Name:Neve, Major:ME, Enrollment:Yes, Year:Junior, Age:16
ID:392, Name:Faviola, Major:CHE, Enrollment:No, Year:Senior, Age:17
ID:137, Name:Meltem, Major:BME, Enrollment:No, Year:Senior, Age:17
ID:22, Name:Taleya, Major:AA, Enrollment:Yes, Year:Sophomore, Age:17
ID:242, Name:Aahana, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:17
ID:524, Name:Alexie, Major:AA, Enrollment:No, Year:Freshman, Age:17
ID:515, Name:Adalind, Major:ABE, Enrollment:Yes, Year:Junior, Age:17
ID:345, Name:Theophilus, Major:BME, Enrollment:No, Year:Sophomore, Age:17
ID:303, Name:Ezmerelda, Major:BME, Enrollment:Yes, Year:Junior, Age:17
ID:544, Name:Sylar, Major:CHE, Enrollment:No, Year:Freshman, Age:17
ID:282, Name:Rosha, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:17
ID:313, Name:Tessla, Major:IE, Enrollment:No, Year:Junior, Age:17
ID:628, Name:Kayani, Major:IE, Enrollment:Yes, Year:Sophomore, Age:17
ID:79, Name:Diar, Major:CS, Enrollment:No, Year:Senior, Age:17
ID:527, Name:Nochum, Major:BME, Enrollment:No, Year:Junior, Age:17
ID:15, Name:Jiyah, Major:IE, Enrollment:No, Year:Senior, Age:17
ID:367, Name:Keithan, Major:BME, Enrollment:Yes, Year:Sophomore, Age:17
ID:369, Name:Abhirami, Major:ABE, Enrollment:No, Year:Junior, Age:17
ID:361, Name:Aayden, Major:ME, Enrollment:No, Year:Freshman, Age:17
ID:541, Name:Maico, Major:ME, Enrollment:No, Year:Junior, Age:17
ID:537, Name:Aryella, Major:BME, Enrollment:No, Year:Freshman, Age:17
ID:473, Name:Lochlainn, Major:ABE, Enrollment:No, Year:Junior, Age:17
ID:211, Name:Osirus, Major:AA, Enrollment:No, Year:Sophomore, Age:17
ID:593, Name:Luan, Major:CHE, Enrollment:No, Year:Freshman, Age:17
ID:209, Name:Shaylen, Major:CS, Enrollment:Yes, Year:Freshman, Age:17
ID:30, Name:Zaveah, Major:CHE, Enrollment:Yes, Year:Freshman, Age:17
ID:150, Name:Jovee, Major:CHE, Enrollment:No, Year:Junior, Age:17
ID:215, Name:Xaria, Major:ABE, Enrollment:No, Year:Junior, Age:17
ID:415, Name:Zuleima, Major:CS, Enrollment:No, Year:Junior, Age:17
ID:462, Name:Jakiah, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:17
ID:33, Name:Aaris, Major:AA, Enrollment:Yes, Year:Freshman, Age:17
ID:468, Name:Estefanny, Major:ME, Enrollment:No, Year:Junior, Age:17
ID:166, Name:Aiyah, Major:CS, Enrollment:No, Year:Senior, Age:17
ID:452, Name:Manha, Major:ME, Enrollment:Yes, Year:Sophomore, Age:17
ID:599, Name:Syire, Major:CS, Enrollment:No, Year:Senior, Age:17
ID:236, Name:Edem, Major:ME, Enrollment:No, Year:Sophomore, Age:17
ID:142, Name:Eimi, Major:ECE, Enrollment:No, Year:Sophomore, Age:17
ID:362, Name:Amauria, Major:ECE, Enrollment:Yes, Year:Freshman, Age:18
ID:102, Name:Kaleo, Major:CS, Enrollment:No, Year:Freshman, Age:18
ID:148, Name:Bryn, Major:ECE, Enrollment:Yes, Year:Junior, Age:18
ID:610, Name:Donoven, Major:CHE, Enrollment:Yes, Year:Junior, Age:18
ID:194, Name:Ondine, Major:ME, Enrollment:Yes, Year:Sophomore, Age:18
ID:364, Name:Taliesin, Major:AA, Enrollment:Yes, Year:Junior, Age:18
ID:542, Name:Aristotle, Major:ABE, Enrollment:Yes, Year:Senior, Age:18
ID:50, Name:Ares, Major:ME, Enrollment:No, Year:Sophomore, Age:18
ID:103, Name:Dastan, Major:AA, Enrollment:No, Year:Sophomore, Age:18
ID:172, Name:Dailan, Major:CS, Enrollment:Yes, Year:Sophomore, Age:18
ID:603, Name:Nashton, Major:ECE, Enrollment:No, Year:Sophomore, Age:18
ID:507, Name:Jordy, Major:CS, Enrollment:Yes, Year:Freshman, Age:18
ID:445, Name:Evie, Major:AA, Enrollment:No, Year:Junior, Age:18
ID:294, Name:Vishwa, Major:ECE, Enrollment:Yes, Year:Freshman, Age:18
ID:562, Name:Sophia, Major:IE, Enrollment:Yes, Year:Junior, Age:18
ID:622, Name:Beni, Major:ME, Enrollment:Yes, Year:Junior, Age:18
ID:205, Name:Raeya, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:18
ID:589, Name:Tiare, Major:ECE, Enrollment:Yes, Year:Freshman, Age:18
ID:554, Name:Dua, Major:BME, Enrollment:No, Year:Sophomore, Age:18
ID:443, Name:Joanie, Major:CHE, Enrollment:No, Year:Sophomore, Age:18
ID:91, Name:Ajani, Major:ME, Enrollment:Yes, Year:Junior, Age:18
ID:617, Name:Aashritha, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:18
ID:250, Name:Jazael, Major:CHE, Enrollment:Yes, Year:Junior, Age:18
ID:377, Name:Evin, Major:IE, Enrollment:No, Year:Senior, Age:18
ID:586, Name:Kylieann, Major:IE, Enrollment:Yes, Year:Senior, Age:18
ID:573, Name:Gabreil, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:18
ID:522, Name:Alanna, Major:ABE, Enrollment:No, Year:Senior, Age:18
ID:36, Name:San, Major:CS, Enrollment:No, Year:Junior, Age:18
ID:55, Name:Alexandr, Major:IE, Enrollment:No, Year:Sophomore, Age:18
ID:577, Name:Ellaria, Major:ME, Enrollment:No, Year:Freshman, Age:18
ID:185, Name:Khylin, Major:AA, Enrollment:Yes, Year:Freshman, Age:18
ID:65, Name:Cammy, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:18
ID:269, Name:Oliana, Major:BME, Enrollment:No, Year:Freshman, Age:18
ID:26, Name:Elyanah, Major:ABE, Enrollment:Yes, Year:Freshman, Age:18
ID:432, Name:Kela, Major:CS, Enrollment:Yes, Year:Sophomore, Age:18
ID:600, Name:Benjamyn, Major:IE, Enrollment:Yes, Year:Freshman, Age:18
ID:239, Name:Alanis, Major:IE, Enrollment:No, Year:Freshman, Age:19
ID:408, Name:Trust, Major:ABE, Enrollment:Yes, Year:Junior, Age:19
ID:627, Name:Samyrah, Major:IE, Enrollment:No, Year:Junior, Age:19
ID:311, Name:York, Major:CHE, Enrollment:Yes, Year:Freshman, Age:19
ID:465, Name:Kiylee, Major:ECE, Enrollment:No, Year:Junior, Age:19
ID:464, Name:Jaisean, Major:AA, Enrollment:Yes, Year:Sophomore, Age:19
ID:384, Name:Rorey, Major:CHE, Enrollment:No, Year:Junior, Age:19
ID:387, Name:Aisosa, Major:CS, Enrollment:Yes, Year:Sophomore, Age:19
ID:271, Name:Kyriee, Major:CS, Enrollment:No, Year:Sophomore, Age:19
ID:386, Name:Eldana, Major:CS, Enrollment:No, Year:Junior, Age:19
ID:612, Name:Jimenna, Major:BME, Enrollment:No, Year:Senior, Age:19
ID:107, Name:Umer, Major:CS, Enrollment:Yes, Year:Freshman, Age:19
ID:520, Name:Avet, Major:CS, Enrollment:Yes, Year:Junior, Age:19
ID:222, Name:Tanay, Major:CHE, Enrollment:Yes, Year:Junior, Age:19
ID:220, Name:Kaysyn, Major:ABE, Enrollment:No, Year:Sophomore, Age:19
ID:582, Name:Elaijah, Major:ABE, Enrollment:No, Year:Sophomore, Age:19
ID:92, Name:Miles, Major:AA, Enrollment:No, Year:Sophomore, Age:19
ID:597, Name:Mahani, Major:AA, Enrollment:Yes, Year:Junior, Age:19
ID:287, Name:Gracelyn, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:19
ID:438, Name:Zenaya, Major:ME, Enrollment:No, Year:Junior, Age:19
ID:291, Name:Saffron, Major:CHE, Enrollment:Yes, Year:Junior, Age:19
ID:207, Name:Willo, Major:ECE, Enrollment:Yes, Year:Freshman, Age:19
ID:372, Name:Dannie, Major:AA, Enrollment:Yes, Year:Junior, Age:20
ID:328, Name:Alira, Major:ABE, Enrollment:No, Year:Sophomore, Age:20
ID:503, Name:Jaheir, Major:BME, Enrollment:No, Year:Senior, Age:20
ID:340, Name:Tavia, Major:CHE, Enrollment:No, Year:Junior, Age:20
ID:363, Name:Gwendolen, Major:ECE, Enrollment:No, Year:Junior, Age:20
ID:341, Name:Azarriah, Major:ECE, Enrollment:Yes, Year:Junior, Age:20
ID:422, Name:Caley, Major:BME, Enrollment:No, Year:Junior, Age:20
ID:442, Name:Jaasiel, Major:IE, Enrollment:No, Year:Junior, Age:20
ID:630, Name:Alanah, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:20
ID:80, Name:Alima, Major:BME, Enrollment:Yes, Year:Senior, Age:20
ID:173, Name:Espen, Major:BME, Enrollment:No, Year:Freshman, Age:20
ID:261, Name:Parson, Major:ME, Enrollment:Yes, Year:Junior, Age:20
ID:38, Name:Canelo, Major:CHE, Enrollment:Yes, Year:Freshman, Age:20
ID:49, Name:Aelin, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:20
ID:180, Name:Haneen, Major:AA, Enrollment:No, Year:Freshman, Age:20
ID:283, Name:Galilee, Major:AA, Enrollment:Yes, Year:Sophomore, Age:20
ID:279, Name:Kyliee, Major:AA, Enrollment:No, Year:Sophomore, Age:20
ID:151, Name:Taylore, Major:ME, Enrollment:Yes, Year:Senior, Age:20
ID:97, Name:Yocelin, Major:ABE, Enrollment:Yes, Year:Senior, Age:20
ID:98, Name:Jaycen, Major:IE, Enrollment:No, Year:Senior, Age:20
ID:118, Name:Burkleigh, Major:IE, Enrollment:Yes, Year:Senior, Age:20
ID:18, Name:Mailah, Major:AA, Enrollment:No, Year:Freshman, Age:20
ID:315, Name:Kimberley, Major:IE, Enrollment:No, Year:Freshman, Age:20
ID:224, Name:Amadeus, Major:AA, Enrollment:No, Year:Sophomore, Age:20
ID:505, Name:Cordarius, Major:ECE, Enrollment:No, Year:Junior, Age:21
ID:228, Name:Carlei, Major:CHE, Enrollment:Yes, Year:Senior, Age:21
