ID:310, Name:Sunday, Major:IE, Enrollment:No, Year:Junior, Age:10
ID:964, Name:Eisha, Major:ABE, Enrollment:No, Year:Sophomore, Age:10
ID:888, Name:Amelya, Major:CHE, Enrollment:Yes, Year:Freshman, Age:10
ID:68, Name:Eugene, Major:ECE, Enrollment:Yes, Year:Freshman, Age:10
ID:858, Name:Siren, Major:ME, Enrollment:No, Year:Senior, Age:10
ID:517, Name:Kaiston, Major:CS, Enrollment:Yes, Year:Junior, Age:10
ID:272, Name:Eloni, Major:ABE, Enrollment:No, Year:Sophomore, Age:10
ID:404, Name:Tamarah, Major:AA, Enrollment:Yes, Year:Freshman, Age:10
ID:521, Name:Amelyah, Major:ME, Enrollment:No, Year:Junior, Age:10
ID:512, Name:Azyia, Major:BME, Enrollment:Yes, Year:Senior, Age:11
ID:108, Name:Rylend, Major:IE, Enrollment:Yes, Year:Junior, Age:11
ID:113, Name:Ivanna, Major:AA, Enrollment:Yes, Year:Junior, Age:11
ID:869, Name:Zailynn, Major:ECE, Enrollment:Yes, Year:Senior, Age:11
ID:731, Name:Huckson, Major:ME, Enrollment:No, Year:Junior, Age:11
ID:189, Name:Enna, Major:AA, Enrollment:No, Year:Freshman, Age:11
ID:619, Name:Phineas, Major:ECE, Enrollment:Yes, Year:Junior, Age:11
ID:579, Name:Alonso, Major:ABE, Enrollment:No, Year:Senior, Age:11
ID:747, Name:Treyton, Major:ME, Enrollment:Yes, Year:Freshman, Age:11
ID:684, Name:Vanya, Major:AA, Enrollment:Yes, Year:Senior, Age:11
ID:686, Name:Davone, Major:AA, Enrollment:No, Year:Junior, Age:11
ID:725, Name:Yordan, Major:CS, Enrollment:No, Year:Sophomore, Age:11
ID:712, Name:Nicklaus, Major:CS, Enrollment:No, Year:Sophomore, Age:11
ID:122, Name:Kamarah, Major:ECE, Enrollment:No, Year:Senior, Age:11
ID:544, Name:Faithlynn, Major:ABE, Enrollment:Yes, Year:Senior, Age:11
ID:812, Name:Elijiah, Major:ABE, Enrollment:No, Year:Junior, Age:11
ID:559, Name:Taiki, Major:BME, Enrollment:Yes, Year:Senior, Age:11
ID:303, Name:Averee, Major:IE, Enrollment:No, Year:Sophomore, Age:11
ID:758, Name:Ilsa, Major:IE, Enrollment:Yes, Year:Freshman, Age:11
ID:281, Name:Rosalee, Major:ME, Enrollment:Yes, Year:Senior, Age:11
ID:564, Name:Jean, Major:CHE, Enrollment:Yes, Year:Senior, Age:11
ID:781, Name:Reetal, Major:ECE, Enrollment:Yes, Year:Junior, Age:11
ID:780, Name:Ara, Major:ECE, Enrollment:No, Year:Junior, Age:11
ID:681, Name:Broady, Major:IE, Enrollment:No, Year:Senior, Age:11
ID:428, Name:Lucile, Major:BME, Enrollment:Yes, Year:Junior, Age:11
ID:914, Name:Malloree, Major:ECE, Enrollment:No, Year:Senior, Age:11
ID:927, Name:Nevaeh, Major:AA, Enrollment:Yes, Year:Junior, Age:11
ID:349, Name:Niyah, Major:ABE, Enrollment:Yes, Year:Freshman, Age:11
ID:448, Name:Daxter, Major:CS, Enrollment:Yes, Year:Sophomore, Age:11
ID:429, Name:Mayan, Major:AA, Enrollment:No, Year:Junior, Age:11
ID:72, Name:Shaheed, Major:AA, Enrollment:Yes, Year:Junior, Age:11
ID:648, Name:Dereon, Major:ECE, Enrollment:Yes, Year:Junior, Age:11
ID:356, Name:Kylie, Major:ME, Enrollment:Yes, Year:Senior, Age:11
ID:359, Name:Jeremaih, Major:AA, Enrollment:Yes, Year:Senior, Age:11
ID:980, Name:Seydina, Major:IE, Enrollment:Yes, Year:Senior, Age:11
ID:937, Name:Pessi, Major:CHE, Enrollment:No, Year:Sophomore, Age:11
ID:35, Name:Delwin, Major:ECE, Enrollment:No, Year:Junior, Age:11
ID:971, Name:Eilis, Major:IE, Enrollment:No, Year:Junior, Age:11
ID:871, Name:Bryer, Major:ECE, Enrollment:No, Year:Junior, Age:11
ID:380, Name:Sulma, Major:CS, Enrollment:Yes, Year:Senior, Age:11
ID:286, Name:Nicholette, Major:ECE, Enrollment:No, Year:Sophomore, Age:12
ID:499, Name:Eddin, Major:CS, Enrollment:Yes, Year:Junior, Age:12
ID:670, Name:Vadim, Major:CHE, Enrollment:Yes, Year:Senior, Age:12
ID:709, Name:Jalan, Major:IE, Enrollment:No, Year:Senior, Age:12
ID:40, Name:Burton, Major:CS, Enrollment:Yes, Year:Sophomore, Age:12
ID:935, Name:Helios, Major:IE, Enrollment:No, Year:Junior, Age:12
ID:779, Name:Azhar, Major:ME, Enrollment:Yes, Year:Freshman, Age:12
ID:773, Name:Tzirel, Major:ME, Enrollment:Yes, Year:Freshman, Age:12
ID:864, Name:Palin, Major:ABE, Enrollment:Yes, Year:Junior, Age:12
ID:815, Name:Launa, Major:AA, Enrollment:No, Year:Junior, Age:12
ID:676, Name:Aerianna, Major:AA, Enrollment:Yes, Year:Junior, Age:12
ID:806, Name:Zaliah, Major:ABE, Enrollment:Yes, Year:Freshman, Age:12
ID:697, Name:Yudith, Major:ECE, Enrollment:Yes, Year:Senior, Age:12
ID:367, Name:Charna, Major:CHE, Enrollment:No, Year:Senior, Age:12
ID:132, Name:Jhonny, Major:CS, Enrollment:No, Year:Junior, Age:12
ID:823, Name:Abdulhamid, Major:AA, Enrollment:No, Year:Freshman, Age:12
ID:744, Name:Blakelie, Major:CHE, Enrollment:No, Year:Sophomore, Age:12
ID:398, Name:Zinn, Major:AA, Enrollment:Yes, Year:Senior, Age:12
ID:749, Name:Malachai, Major:BME, Enrollment:No, Year:Senior, Age:12
ID:683, Name:Jumana, Major:ABE, Enrollment:No, Year:Freshman, Age:12
ID:187, Name:Zoha, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:12
ID:360, Name:Marlye, Major:CHE, Enrollment:Yes, Year:Junior, Age:12
ID:967, Name:Oakleigh, Major:ECE, Enrollment:Yes, Year:Junior, Age:12
ID:39, Name:Mihaela, Major:ME, Enrollment:Yes, Year:Freshman, Age:12
ID:876, Name:Jayesh, Major:ABE, Enrollment:No, Year:Sophomore, Age:12
ID:756, Name:Lathan, Major:BME, Enrollment:Yes, Year:Sophomore, Age:12
ID:571, Name:Esraa, Major:AA, Enrollment:No, Year:Senior, Age:12
ID:638, Name:Casia, Major:CHE, Enrollment:No, Year:Junior, Age:12
ID:172, Name:Ace, Major:ME, Enrollment:No, Year:Freshman, Age:12
ID:724, Name:Denylah, Major:ME, Enrollment:No, Year:Sophomore, Age:12
ID:685, Name:Kaileen, Major:ECE, Enrollment:Yes, Year:Junior, Age:12
ID:369, Name:Myanni, Major:CHE, Enrollment:No, Year:Freshman, Age:12
ID:111, Name:Dareen, Major:ME, Enrollment:Yes, Year:Freshman, Age:12
ID:840, Name:Jacier, Major:CHE, Enrollment:No, Year:Freshman, Age:12
ID:526, Name:Harlyn, Major:AA, Enrollment:Yes, Year:Senior, Age:12
ID:88, Name:Piyush, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:12
ID:835, Name:Daxter, Major:BME, Enrollment:Yes, Year:Sophomore, Age:12
ID:883, Name:Zhayden, Major:CS, Enrollment:Yes, Year:Sophomore, Age:12
ID:91, Name:Aerie, Major:IE, Enrollment:Yes, Year:Junior, Age:12
ID:885, Name:Tyreese, Major:AA, Enrollment:Yes, Year:Sophomore, Age:12
ID:102, Name:Yankel, Major:IE, Enrollment:Yes, Year:Freshman, Age:12
ID:311, Name:Dominico, Major:CHE, Enrollment:No, Year:Junior, Age:12
ID:843, Name:Dea, Major:ME, Enrollment:No, Year:Sophomore, Age:12
ID:419, Name:Ashtynn, Major:BME, Enrollment:Yes, Year:Freshman, Age:12
ID:394, Name:Vanden, Major:IE, Enrollment:Yes, Year:Sophomore, Age:12
ID:717, Name:Laiken, Major:ME, Enrollment:No, Year:Senior, Age:13
ID:934, Name:Acelyn, Major:CHE, Enrollment:Yes, Year:Junior, Age:13
ID:244, Name:Irvin, Major:ECE, Enrollment:Yes, Year:Junior, Age:13
ID:577, Name:Jeramie, Major:BME, Enrollment:Yes, Year:Freshman, Age:13
ID:423, Name:Rumaysah, Major:BME, Enrollment:Yes, Year:Sophomore, Age:13
ID:528, Name:Jaimee, Major:CHE, Enrollment:No, Year:Sophomore, Age:13
ID:766, Name:Leto, Major:BME, Enrollment:No, Year:Sophomore, Age:13
ID:541, Name:Alta, Major:IE, Enrollment:No, Year:Freshman, Age:13
ID:89, Name:Jeslie, Major:ABE, Enrollment:Yes, Year:Freshman, Age:13
ID:816, Name:Kiahna, Major:ABE, Enrollment:Yes, Year:Freshman, Age:13
ID:219, Name:Vasili, Major:AA, Enrollment:Yes, Year:Junior, Age:13
ID:101, Name:Shyan, Major:CS, Enrollment:No, Year:Sophomore, Age:13
ID:192, Name:Anayeli, Major:IE, Enrollment:Yes, Year:Junior, Age:13
ID:755, Name:Deivy, Major:IE, Enrollment:No, Year:Junior, Age:13
ID:718, Name:Anwar, Major:CS, Enrollment:No, Year:Senior, Age:13
ID:443, Name:Aamyah, Major:CS, Enrollment:Yes, Year:Junior, Age:13
ID:270, Name:Patti, Major:CS, Enrollment:No, Year:Junior, Age:13
ID:121, Name:Jael, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:13
ID:25, Name:Zacari, Major:BME, Enrollment:No, Year:Senior, Age:13
ID:93, Name:Jenisha, Major:ECE, Enrollment:No, Year:Sophomore, Age:13
ID:20, Name:Hidayah, Major:ME, Enrollment:Yes, Year:Senior, Age:13
ID:583, Name:Karalee, Major:ME, Enrollment:Yes, Year:Junior, Age:13
ID:982, Name:Sandra, Major:ME, Enrollment:Yes, Year:Freshman, Age:13
ID:973, Name:Mija, Major:CHE, Enrollment:No, Year:Sophomore, Age:13
ID:878, Name:Kahlina, Major:ME, Enrollment:No, Year:Sophomore, Age:13
ID:265, Name:Haven, Major:ABE, Enrollment:No, Year:Freshman, Age:13
ID:800, Name:Aqib, Major:ME, Enrollment:No, Year:Sophomore, Age:13
ID:555, Name:Maysin, Major:CHE, Enrollment:Yes, Year:Freshman, Age:13
ID:798, Name:Alaunah, Major:ME, Enrollment:No, Year:Sophomore, Age:13
ID:671, Name:Jermar, Major:ECE, Enrollment:No, Year:Senior, Age:13
ID:42, Name:Berkeley, Major:ABE, Enrollment:No, Year:Freshman, Age:13
ID:652, Name:Daysi, Major:IE, Enrollment:Yes, Year:Junior, Age:13
ID:839, Name:Kaliegh, Major:CS, Enrollment:Yes, Year:Junior, Age:13
ID:136, Name:Dempsey, Major:ABE, Enrollment:Yes, Year:Junior, Age:13
ID:267, Name:Kayelee, Major:IE, Enrollment:Yes, Year:Senior, Age:13
ID:427, Name:Safwaan, Major:AA, Enrollment:Yes, Year:Senior, Age:13
ID:390, Name:Khamya, Major:CS, Enrollment:Yes, Year:Junior, Age:13
ID:222, Name:Addalynne, Major:CHE, Enrollment:No, Year:Junior, Age:14
ID:213, Name:Vail, Major:ME, Enrollment:Yes, Year:Junior, Age:14
ID:708, Name:Deiondre, Major:ABE, Enrollment:Yes, Year:Junior, Age:14
ID:7, Name:Adil, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:14
ID:366, Name:Dreyson, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:14
ID:371, Name:Diedrich, Major:AA, Enrollment:No, Year:Sophomore, Age:14
ID:256, Name:Adilene, Major:ME, Enrollment:No, Year:Senior, Age:14
ID:205, Name:Rayah, Major:CS, Enrollment:No, Year:Sophomore, Age:14
ID:15, Name:Jotham, Major:CS, Enrollment:No, Year:Sophomore, Age:14
ID:260, Name:Zandaya, Major:AA, Enrollment:Yes, Year:Junior, Age:14
ID:714, Name:Aiiden, Major:BME, Enrollment:Yes, Year:Sophomore, Age:14
ID:10, Name:Kamilya, Major:CHE, Enrollment:Yes, Year:Senior, Age:14
ID:200, Name:Kasity, Major:IE, Enrollment:Yes, Year:Freshman, Age:14
ID:472, Name:Cortland, Major:CS, Enrollment:No, Year:Freshman, Age:14
ID:918, Name:Jenai, Major:CS, Enrollment:Yes, Year:Freshman, Age:14
ID:420, Name:Shuaib, Major:CS, Enrollment:Yes, Year:Freshman, Age:14
ID:923, Name:Nevaeh, Major:CHE, Enrollment:No, Year:Freshman, Age:14
ID:305, Name:Ty, Major:ME, Enrollment:No, Year:Senior, Age:14
ID:531, Name:Avrielle, Major:ABE, Enrollment:No, Year:Senior, Age:14
ID:545, Name:Vega, Major:IE, Enrollment:Yes, Year:Senior, Age:14
ID:50, Name:Amadi, Major:ECE, Enrollment:No, Year:Sophomore, Age:14
ID:49, Name:Luke, Major:ABE, Enrollment:No, Year:Senior, Age:14
ID:137, Name:Divyansh, Major:ABE, Enrollment:No, Year:Sophomore, Age:14
ID:491, Name:Leveah, Major:BME, Enrollment:No, Year:Junior, Age:14
ID:484, Name:Chevy, Major:ABE, Enrollment:Yes, Year:Freshman, Age:14
ID:456, Name:Dyana, Major:IE, Enrollment:No, Year:Junior, Age:14
ID:477, Name:Aubreyrose, Major:AA, Enrollment:Yes, Year:Junior, Age:14
ID:662, Name:Manvik, Major:ME, Enrollment:No, Year:Freshman, Age:14
ID:906, Name:Tyion, Major:IE, Enrollment:No, Year:Freshman, Age:14
ID:855, Name:Maisey, Major:BME, Enrollment:Yes, Year:Sophomore, Age:14
ID:854, Name:Eriyana, Major:CS, Enrollment:No, Year:Sophomore, Age:14
ID:582, Name:Miking, Major:CS, Enrollment:Yes, Year:Freshman, Age:14
ID:962, Name:Elmira, Major:IE, Enrollment:Yes, Year:Junior, Age:14
ID:961, Name:Kennah, Major:CS, Enrollment:No, Year:Junior, Age:14
ID:750, Name:Rael, Major:IE, Enrollment:Yes, Year:Freshman, Age:14
ID:170, Name:Bayron, Major:ABE, Enrollment:No, Year:Sophomore, Age:14
ID:410, Name:Tamir, Major:BME, Enrollment:No, Year:Senior, Age:14
ID:743, Name:Malaina, Major:ABE, Enrollment:No, Year:Senior, Age:14
ID:748, Name:Maymunah, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:14
ID:24, Name:Markelle, Major:ME, Enrollment:Yes, Year:Sophomore, Age:14
ID:802, Name:Dalian, Major:ABE, Enrollment:Yes, Year:Junior, Age:14
ID:563, Name:Chaarvi, Major:CHE, Enrollment:Yes, Year:Junior, Age:14
ID:287, Name:Anastazia, Major:CHE, Enrollment:Yes, Year:Junior, Age:14
ID:560, Name:Diyana, Major:BME, Enrollment:Yes, Year:Junior, Age:14
ID:797, Name:Teyla, Major:CS, Enrollment:No, Year:Sophomore, Age:14
ID:951, Name:Handsome, Major:CS, Enrollment:Yes, Year:Senior, Age:14
ID:782, Name:Roland, Major:AA, Enrollment:Yes, Year:Junior, Age:14
ID:139, Name:Milliani, Major:BME, Enrollment:Yes, Year:Freshman, Age:14
ID:243, Name:Eldad, Major:ME, Enrollment:Yes, Year:Junior, Age:15
ID:245, Name:Latavia, Major:IE, Enrollment:No, Year:Sophomore, Age:15
ID:645, Name:Summit, Major:ME, Enrollment:Yes, Year:Freshman, Age:15
ID:340, Name:Evander, Major:CS, Enrollment:Yes, Year:Sophomore, Age:15
ID:412, Name:Kobina, Major:IE, Enrollment:Yes, Year:Sophomore, Age:15
ID:334, Name:Lakshana, Major:BME, Enrollment:Yes, Year:Senior, Age:15
ID:480, Name:Lukah, Major:BME, Enrollment:Yes, Year:Freshman, Age:15
ID:396, Name:Enrico, Major:BME, Enrollment:Yes, Year:Junior, Age:15
ID:352, Name:Auriana, Major:ABE, Enrollment:No, Year:Junior, Age:15
ID:409, Name:Cinch, Major:CS, Enrollment:Yes, Year:Senior, Age:15
ID:596, Name:Almina, Major:CHE, Enrollment:No, Year:Freshman, Age:15
ID:573, Name:Gillian, Major:AA, Enrollment:No, Year:Sophomore, Age:15
ID:566, Name:Yonis, Major:CS, Enrollment:No, Year:Freshman, Age:15
ID:584, Name:Mars, Major:CHE, Enrollment:No, Year:Freshman, Age:15
ID:529, Name:Martavius, Major:IE, Enrollment:No, Year:Sophomore, Age:15
ID:533, Name:Carter, Major:CHE, Enrollment:Yes, Year:Senior, Age:15
ID:562, Name:Elliemay, Major:CS, Enrollment:No, Year:Senior, Age:15
ID:377, Name:Kahliyah, Major:ABE, Enrollment:No, Year:Senior, Age:15
ID:195, Name:Laurence, Major:AA, Enrollment:No, Year:Junior, Age:15
ID:952, Name:Ekansh, Major:CS, Enrollment:No, Year:Junior, Age:15
ID:794, Name:Jinay, Major:IE, Enrollment:No, Year:Junior, Age:15
ID:976, Name:Pritika, Major:ME, Enrollment:Yes, Year:Junior, Age:15
ID:83, Name:Kailand, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:15
ID:104, Name:Blanche, Major:BME, Enrollment:No, Year:Senior, Age:15
ID:103, Name:Isac, Major:ME, Enrollment:No, Year:Senior, Age:15
ID:965, Name:Jermiyah, Major:BME, Enrollment:No, Year:Sophomore, Age:15
ID:143, Name:Kaiser, Major:CS, Enrollment:No, Year:Senior, Age:15
ID:916, Name:Inga, Major:ABE, Enrollment:Yes, Year:Junior, Age:15
ID:164, Name:Yoseph, Major:BME, Enrollment:No, Year:Sophomore, Age:15
ID:96, Name:Blimie, Major:CS, Enrollment:Yes, Year:Sophomore, Age:15
ID:774, Name:Andraya, Major:ME, Enrollment:Yes, Year:Sophomore, Age:15
ID:771, Name:Briya, Major:ECE, Enrollment:Yes, Year:Freshman, Age:15
ID:182, Name:Acelee, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:15
ID:865, Name:Ennis, Major:CHE, Enrollment:Yes, Year:Junior, Age:15
ID:153, Name:Indiya, Major:ABE, Enrollment:No, Year:Freshman, Age:15
ID:753, Name:Batu, Major:ME, Enrollment:No, Year:Sophomore, Age:15
ID:159, Name:Alyas, Major:IE, Enrollment:Yes, Year:Freshman, Age:15
ID:657, Name:Clementine, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:15
ID:60, Name:Mithun, Major:AA, Enrollment:No, Year:Senior, Age:15
ID:134, Name:Orah, Major:ME, Enrollment:No, Year:Junior, Age:15
ID:992, Name:Johndaniel, Major:CS, Enrollment:No, Year:Junior, Age:15
ID:3, Name:Dawsyn, Major:ECE, Enrollment:No, Year:Freshman, Age:15
ID:674, Name:Liliahna, Major:ME, Enrollment:No, Year:Freshman, Age:15
ID:651, Name:Jamier, Major:ABE, Enrollment:Yes, Year:Freshman, Age:15
ID:998, Name:Fielding, Major:CS, Enrollment:No, Year:Sophomore, Age:15
ID:825, Name:Cade, Major:BME, Enrollment:Yes, Year:Freshman, Age:15
ID:911, Name:Massai, Major:ABE, Enrollment:No, Year:Freshman, Age:15
ID:655, Name:Hesham, Major:ECE, Enrollment:No, Year:Sophomore, Age:15
ID:690, Name:Arna, Major:ME, Enrollment:No, Year:Sophomore, Age:15
ID:33, Name:Praise, Major:ABE, Enrollment:Yes, Year:Senior, Age:15
ID:119, Name:Qirat, Major:CS, Enrollment:Yes, Year:Sophomore, Age:15
ID:689, Name:Cherish, Major:CHE, Enrollment:Yes, Year:Senior, Age:15
ID:224, Name:Javontay, Major:CHE, Enrollment:Yes, Year:Freshman, Age:15
ID:833, Name:Jory, Major:ECE, Enrollment:No, Year:Freshman, Age:16
ID:107, Name:Sofiagrace, Major:ECE, Enrollment:No, Year:Sophomore, Age:16
ID:847, Name:Selah, Major:IE, Enrollment:No, Year:Freshman, Age:16
ID:524, Name:Kaci, Major:IE, Enrollment:No, Year:Freshman, Age:16
ID:34, Name:Moaad, Major:CS, Enrollment:Yes, Year:Freshman, Age:16
ID:826, Name:Anzar, Major:ABE, Enrollment:No, Year:Senior, Age:16
ID:127, Name:Jhourni, Major:IE, Enrollment:Yes, Year:Junior, Age:16
ID:893, Name:Lakelynn, Major:ME, Enrollment:No, Year:Senior, Age:16
ID:452, Name:Eleni, Major:ABE, Enrollment:No, Year:Senior, Age:16
ID:445, Name:Trance, Major:IE, Enrollment:Yes, Year:Junior, Age:16
ID:884, Name:Emnet, Major:ABE, Enrollment:No, Year:Freshman, Age:16
ID:463, Name:Aiiden, Major:CS, Enrollment:No, Year:Senior, Age:16
ID:902, Name:Ramirah, Major:AA, Enrollment:Yes, Year:Senior, Age:16
ID:61, Name:Barack, Major:ABE, Enrollment:Yes, Year:Junior, Age:16
ID:444, Name:Jaylie, Major:BME, Enrollment:Yes, Year:Junior, Age:16
ID:896, Name:Olyvia, Major:IE, Enrollment:Yes, Year:Sophomore, Age:16
ID:48, Name:Asia, Major:BME, Enrollment:No, Year:Junior, Age:16
ID:866, Name:Azeriah, Major:IE, Enrollment:Yes, Year:Sophomore, Age:16
ID:489, Name:Emika, Major:ME, Enrollment:No, Year:Freshman, Age:16
ID:81, Name:Kailand, Major:CS, Enrollment:No, Year:Junior, Age:16
ID:85, Name:Jacquees, Major:CS, Enrollment:Yes, Year:Senior, Age:16
ID:471, Name:Rudolfo, Major:CHE, Enrollment:Yes, Year:Junior, Age:16
ID:58, Name:Kynslee, Major:CHE, Enrollment:No, Year:Junior, Age:16
ID:80, Name:Olumide, Major:IE, Enrollment:Yes, Year:Sophomore, Age:16
ID:919, Name:Kota, Major:IE, Enrollment:Yes, Year:Senior, Age:16
ID:342, Name:Imoni, Major:CHE, Enrollment:No, Year:Freshman, Age:16
ID:588, Name:Iktan, Major:CS, Enrollment:Yes, Year:Freshman, Age:16
ID:983, Name:Abdullahi, Major:ABE, Enrollment:Yes, Year:Senior, Age:16
ID:587, Name:Dex, Major:IE, Enrollment:No, Year:Freshman, Age:16
ID:204, Name:Tigerlily, Major:CHE, Enrollment:Yes, Year:Senior, Age:16
ID:212, Name:Kasima, Major:ECE, Enrollment:No, Year:Senior, Age:16
ID:741, Name:Cosimo, Major:ABE, Enrollment:Yes, Year:Senior, Age:16
ID:726, Name:Marylin, Major:CS, Enrollment:No, Year:Freshman, Age:16
ID:977, Name:Aaira, Major:AA, Enrollment:Yes, Year:Freshman, Age:16
ID:401, Name:Adiel, Major:IE, Enrollment:Yes, Year:Senior, Age:16
ID:631, Name:Aiesha, Major:CHE, Enrollment:No, Year:Senior, Age:16
ID:635, Name:Terrick, Major:ME, Enrollment:Yes, Year:Freshman, Age:16
ID:5, Name:Yusufbek, Major:AA, Enrollment:Yes, Year:Senior, Age:16
ID:246, Name:Hung, Major:ME, Enrollment:No, Year:Junior, Age:16
ID:600, Name:Claudine, Major:BME, Enrollment:Yes, Year:Senior, Age:16
ID:691, Name:Paizleigh, Major:BME, Enrollment:No, Year:Sophomore, Age:16
ID:257, Name:Varun, Major:ECE, Enrollment:No, Year:Junior, Age:16
ID:613, Name:Krishan, Major:CS, Enrollment:No, Year:Junior, Age:16
ID:955, Name:Derrion, Major:ME, Enrollment:Yes, Year:Freshman, Age:16
ID:357, Name:Weslee, Major:CS, Enrollment:Yes, Year:Senior, Age:16
ID:296, Name:Clarita, Major:ABE, Enrollment:Yes, Year:Freshman, Age:16
ID:361, Name:Jailey, Major:ABE, Enrollment:No, Year:Freshman, Age:16
ID:292, Name:Jontae, Major:CS, Enrollment:No, Year:Senior, Age:16
ID:147, Name:Ryuu, Major:ABE, Enrollment:No, Year:Freshman, Age:16
ID:142, Name:Karrah, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:16
ID:167, Name:Everette, Major:IE, Enrollment:No, Year:Freshman, Age:16
ID:969, Name:Hayle, Major:ME, Enrollment:No, Year:Sophomore, Age:16
ID:161, Name:Destina, Major:BME, Enrollment:No, Year:Senior, Age:16
ID:298, Name:Naomi, Major:BME, Enrollment:No, Year:Junior, Age:16
ID:548, Name:Srihan, Major:IE, Enrollment:No, Year:Junior, Age:16
ID:963, Name:Maseo, Major:IE, Enrollment:Yes, Year:Freshman, Age:17
ID:384, Name:Avajames, Major:CHE, Enrollment:Yes, Year:Senior, Age:17
ID:959, Name:Kahlan, Major:ABE, Enrollment:No, Year:Sophomore, Age:17
ID:417, Name:Journey, Major:ECE, Enrollment:No, Year:Senior, Age:17
ID:949, Name:Ayson, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:17
