ID:200, Name:Lovely, Major:BME, Enrollment:No, Year:Freshman, Age:21
ID:35, Name:Keliah, Major:ECE, Enrollment:No, Year:Senior, Age:20
ID:48, Name:Collyn, Major:ECE, Enrollment:No, Year:Sophomore, Age:20
ID:177, Name:Jailene, Major:ABE, Enrollment:Yes, Year:Senior, Age:20
ID:52, Name:Keilynn, Major:CS, Enrollment:No, Year:Freshman, Age:20
ID:181, Name:Nakaylah, Major:CHE, Enrollment:No, Year:Freshman, Age:20
ID:21, Name:Aleksandr, Major:CS, Enrollment:No, Year:Senior, Age:20
ID:24, Name:Averianna, Major:ECE, Enrollment:Yes, Year:Junior, Age:20
ID:165, Name:Seleny, Major:ABE, Enrollment:No, Year:Freshman, Age:20
ID:69, Name:Araia, Major:CHE, Enrollment:No, Year:Senior, Age:20
ID:157, Name:Nereida, Major:AA, Enrollment:No, Year:Sophomore, Age:20
ID:169, Name:Nikoli, Major:IE, Enrollment:No, Year:Sophomore, Age:21
ID:155, Name:Damontay, Major:ECE, Enrollment:No, Year:Sophomore, Age:21
ID:154, Name:Brigg, Major:ABE, Enrollment:No, Year:Sophomore, Age:21
ID:195, Name:Tai, Major:ME, Enrollment:Yes, Year:Freshman, Age:21
ID:66, Name:Vedanshi, Major:CHE, Enrollment:Yes, Year:Freshman, Age:20
ID:146, Name:Isileli, Major:AA, Enrollment:No, Year:Junior, Age:21
ID:196, Name:Inari, Major:BME, Enrollment:Yes, Year:Junior, Age:21
ID:127, Name:Everrett, Major:ME, Enrollment:Yes, Year:Sophomore, Age:21
ID:140, Name:Shilo, Major:CS, Enrollment:Yes, Year:Sophomore, Age:21
ID:180, Name:Jaretzi, Major:BME, Enrollment:No, Year:Senior, Age:21
ID:119, Name:Ellowyn, Major:ABE, Enrollment:Yes, Year:Junior, Age:21
ID:82, Name:Aristotelis, Major:IE, Enrollment:Yes, Year:Sophomore, Age:21
ID:37, Name:Juandavid, Major:ECE, Enrollment:Yes, Year:Freshman, Age:21
ID:59, Name:Jadah, Major:IE, Enrollment:No, Year:Sophomore, Age:21
ID:43, Name:Evleen, Major:CS, Enrollment:Yes, Year:Freshman, Age:21
ID:40, Name:Jayln, Major:BME, Enrollment:Yes, Year:Senior, Age:21
ID:64, Name:Benoit, Major:IE, Enrollment:Yes, Year:Senior, Age:21
ID:78, Name:Braelyn, Major:BME, Enrollment:No, Year:Senior, Age:21
ID:76, Name:Gayatri, Major:CHE, Enrollment:Yes, Year:Senior, Age:21
ID:36, Name:Malhar, Major:IE, Enrollment:No, Year:Senior, Age:21
ID:11, Name:Anir, Major:ECE, Enrollment:Yes, Year:Junior, Age:21
ID:8, Name:Rennick, Major:CS, Enrollment:No, Year:Freshman, Age:21
ID:6, Name:Camp, Major:IE, Enrollment:No, Year:Senior, Age:21
ID:12, Name:Jaxston, Major:ME, Enrollment:Yes, Year:Sophomore, Age:21
ID:17, Name:Javan, Major:AA, Enrollment:No, Year:Freshman, Age:21
ID:16, Name:Addelynn, Major:ECE, Enrollment:Yes, Year:Junior, Age:21
ID:84, Name:Colten, Major:ECE, Enrollment:No, Year:Sophomore, Age:22
ID:98, Name:Breighlyn, Major:CS, Enrollment:No, Year:Junior, Age:21
ID:110, Name:Ori, Major:ME, Enrollment:Yes, Year:Senior, Age:21
ID:89, Name:Dedrick, Major:BME, Enrollment:Yes, Year:Freshman, Age:21
ID:91, Name:Azrael, Major:AA, Enrollment:Yes, Year:Freshman, Age:21
ID:111, Name:Yohandri, Major:AA, Enrollment:No, Year:Sophomore, Age:22
ID:186, Name:Macyn, Major:IE, Enrollment:Yes, Year:Sophomore, Age:22
ID:26, Name:Sayuri, Major:CHE, Enrollment:No, Year:Junior, Age:22
ID:85, Name:Shani, Major:ECE, Enrollment:No, Year:Freshman, Age:21
ID:19, Name:Finnick, Major:IE, Enrollment:Yes, Year:Junior, Age:22
ID:182, Name:Yisrael, Major:BME, Enrollment:No, Year:Senior, Age:22
ID:99, Name:Sadieann, Major:CS, Enrollment:No, Year:Freshman, Age:22
ID:5, Name:Premier, Major:ECE, Enrollment:No, Year:Junior, Age:22
ID:131, Name:Kaheem, Major:ABE, Enrollment:Yes, Year:Freshman, Age:22
ID:109, Name:Jamarious, Major:ECE, Enrollment:No, Year:Freshman, Age:22
ID:15, Name:Nataley, Major:CS, Enrollment:Yes, Year:Senior, Age:22
ID:178, Name:Karsyn, Major:ECE, Enrollment:No, Year:Junior, Age:22
ID:61, Name:Virgil, Major:ABE, Enrollment:No, Year:Senior, Age:22
ID:72, Name:Joelie, Major:BME, Enrollment:No, Year:Junior, Age:22
ID:70, Name:Pippi, Major:ECE, Enrollment:Yes, Year:Senior, Age:22
ID:67, Name:Airess, Major:BME, Enrollment:No, Year:Sophomore, Age:22
ID:73, Name:Rayhan, Major:CHE, Enrollment:Yes, Year:Freshman, Age:22
ID:147, Name:Saiyan, Major:ABE, Enrollment:No, Year:Freshman, Age:22
ID:60, Name:Maxwel, Major:CHE, Enrollment:No, Year:Senior, Age:22
ID:90, Name:Tessla, Major:ME, Enrollment:Yes, Year:Sophomore, Age:22
ID:45, Name:Samanvi, Major:CS, Enrollment:Yes, Year:Senior, Age:22
ID:139, Name:August, Major:CS, Enrollment:No, Year:Junior, Age:22
ID:170, Name:Shilynn, Major:IE, Enrollment:Yes, Year:Sophomore, Age:22
ID:55, Name:Sandy, Major:ECE, Enrollment:Yes, Year:Freshman, Age:22
Write to db
