ID:405, Name:Annahi, Major:BME, Enrollment:No, Year:Freshman, Age:10
ID:188, Name:Jilliann, Major:CHE, Enrollment:Yes, Year:Freshman, Age:11
ID:618, Name:Shaylan, Major:ECE, Enrollment:Yes, Year:Senior, Age:11
ID:323, Name:Giovonni, Major:ABE, Enrollment:Yes, Year:Senior, Age:11
ID:687, Name:Kallan, Major:BME, Enrollment:No, Year:Freshman, Age:11
ID:681, Name:Vegeta, Major:AA, Enrollment:Yes, Year:Sophomore, Age:11
ID:123, Name:Adalai, Major:ME, Enrollment:Yes, Year:Junior, Age:11
ID:208, Name:Avan, Major:ME, Enrollment:Yes, Year:Sophomore, Age:11
ID:120, Name:Breighlyn, Major:ABE, Enrollment:Yes, Year:Junior, Age:11
ID:373, Name:Rawley, Major:BME, Enrollment:No, Year:Junior, Age:11
ID:204, Name:Derrica, Major:AA, Enrollment:No, Year:Freshman, Age:11
ID:130, Name:Chase, Major:ME, Enrollment:Yes, Year:Sophomore, Age:11
ID:304, Name:Anandi, Major:IE, Enrollment:No, Year:Freshman, Age:11
ID:190, Name:Aedin, Major:ABE, Enrollment:Yes, Year:Junior, Age:11
ID:510, Name:Anvitha, Major:ECE, Enrollment:No, Year:Freshman, Age:11
ID:33, Name:Iliana, Major:ABE, Enrollment:Yes, Year:Junior, Age:11
ID:11, Name:Praneel, Major:BME, Enrollment:No, Year:Senior, Age:11
ID:517, Name:Mariana, Major:CS, Enrollment:No, Year:Junior, Age:11
ID:646, Name:Javeed, Major:IE, Enrollment:Yes, Year:Senior, Age:11
ID:23, Name:Zeyah, Major:CS, Enrollment:No, Year:Senior, Age:11
ID:6, Name:Avarae, Major:ABE, Enrollment:No, Year:Senior, Age:11
ID:485, Name:Renner, Major:BME, Enrollment:Yes, Year:Junior, Age:11
ID:272, Name:Shelton, Major:IE, Enrollment:Yes, Year:Senior, Age:12
ID:115, Name:Janyiah, Major:CHE, Enrollment:No, Year:Sophomore, Age:12
ID:343, Name:Warren, Major:IE, Enrollment:No, Year:Junior, Age:12
ID:512, Name:Zuly, Major:CHE, Enrollment:Yes, Year:Senior, Age:12
ID:119, Name:Emalie, Major:ECE, Enrollment:No, Year:Freshman, Age:12
ID:617, Name:Jalana, Major:ECE, Enrollment:Yes, Year:Senior, Age:12
ID:37, Name:Itzuri, Major:ABE, Enrollment:No, Year:Freshman, Age:12
ID:101, Name:Keiona, Major:IE, Enrollment:No, Year:Freshman, Age:12
ID:504, Name:Smokey, Major:BME, Enrollment:No, Year:Freshman, Age:12
ID:422, Name:Khyree, Major:AA, Enrollment:No, Year:Sophomore, Age:12
ID:216, Name:Jayland, Major:CHE, Enrollment:No, Year:Junior, Age:12
ID:219, Name:Addilynne, Major:BME, Enrollment:No, Year:Freshman, Age:12
ID:34, Name:Noyan, Major:IE, Enrollment:No, Year:Senior, Age:12
ID:336, Name:Oakley, Major:CHE, Enrollment:Yes, Year:Senior, Age:12
ID:614, Name:Priam, Major:IE, Enrollment:No, Year:Sophomore, Age:12
ID:669, Name:Rana, Major:IE, Enrollment:No, Year:Freshman, Age:12
ID:143, Name:Ainsley, Major:ECE, Enrollment:No, Year:Senior, Age:12
ID:141, Name:Lorena, Major:CS, Enrollment:No, Year:Senior, Age:12
ID:305, Name:Haddley, Major:BME, Enrollment:Yes, Year:Sophomore, Age:12
ID:243, Name:Adysen, Major:CHE, Enrollment:No, Year:Freshman, Age:12
ID:716, Name:Andre, Major:CHE, Enrollment:Yes, Year:Junior, Age:12
ID:413, Name:Alie, Major:IE, Enrollment:Yes, Year:Sophomore, Age:12
ID:167, Name:Addisyn, Major:CS, Enrollment:No, Year:Sophomore, Age:12
ID:352, Name:Vena, Major:AA, Enrollment:Yes, Year:Senior, Age:12
ID:654, Name:Iliani, Major:ECE, Enrollment:Yes, Year:Junior, Age:12
ID:396, Name:Emmit, Major:AA, Enrollment:No, Year:Senior, Age:12
ID:717, Name:Mirna, Major:ABE, Enrollment:No, Year:Senior, Age:12
ID:409, Name:Augie, Major:BME, Enrollment:Yes, Year:Senior, Age:12
ID:537, Name:Nili, Major:CHE, Enrollment:Yes, Year:Junior, Age:12
ID:671, Name:Angellica, Major:ABE, Enrollment:No, Year:Sophomore, Age:12
ID:496, Name:Brysten, Major:AA, Enrollment:Yes, Year:Senior, Age:12
ID:706, Name:Marisabel, Major:AA, Enrollment:Yes, Year:Junior, Age:12
ID:459, Name:Shayne, Major:ABE, Enrollment:Yes, Year:Senior, Age:12
ID:449, Name:Cassandra, Major:CHE, Enrollment:No, Year:Senior, Age:12
ID:572, Name:German, Major:CHE, Enrollment:Yes, Year:Freshman, Age:12
ID:86, Name:Maraki, Major:ABE, Enrollment:Yes, Year:Senior, Age:12
ID:70, Name:Kamarri, Major:AA, Enrollment:Yes, Year:Sophomore, Age:12
ID:701, Name:Junie, Major:ABE, Enrollment:No, Year:Sophomore, Age:12
ID:638, Name:Van, Major:IE, Enrollment:Yes, Year:Senior, Age:12
ID:46, Name:Carolina, Major:ME, Enrollment:No, Year:Freshman, Age:12
ID:575, Name:Arye, Major:AA, Enrollment:Yes, Year:Junior, Age:12
ID:576, Name:Kadince, Major:CS, Enrollment:No, Year:Junior, Age:12
ID:59, Name:Colum, Major:ECE, Enrollment:No, Year:Senior, Age:12
ID:22, Name:Caulder, Major:ABE, Enrollment:No, Year:Sophomore, Age:13
ID:49, Name:Lennix, Major:AA, Enrollment:Yes, Year:Junior, Age:13
ID:235, Name:Caralena, Major:ABE, Enrollment:No, Year:Junior, Age:13
ID:403, Name:Mikiyas, Major:AA, Enrollment:No, Year:Freshman, Age:13
ID:476, Name:Eyan, Major:AA, Enrollment:Yes, Year:Junior, Age:13
ID:715, Name:Nitya, Major:IE, Enrollment:No, Year:Senior, Age:13
ID:714, Name:Salama, Major:CHE, Enrollment:Yes, Year:Junior, Age:13
ID:69, Name:Jolani, Major:BME, Enrollment:No, Year:Senior, Age:13
ID:16, Name:Braydee, Major:AA, Enrollment:Yes, Year:Junior, Age:13
ID:25, Name:Randall, Major:IE, Enrollment:Yes, Year:Senior, Age:13
ID:201, Name:Maralynn, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:13
ID:489, Name:Zaryah, Major:AA, Enrollment:Yes, Year:Junior, Age:13
ID:525, Name:Delayni, Major:IE, Enrollment:Yes, Year:Sophomore, Age:13
ID:604, Name:Aunesty, Major:CS, Enrollment:Yes, Year:Senior, Age:13
ID:584, Name:Joen, Major:ABE, Enrollment:Yes, Year:Junior, Age:13
ID:189, Name:Kaye, Major:ABE, Enrollment:Yes, Year:Junior, Age:13
ID:545, Name:Dayami, Major:BME, Enrollment:Yes, Year:Sophomore, Age:13
ID:162, Name:Jaleia, Major:CHE, Enrollment:No, Year:Senior, Age:13
ID:395, Name:Hanz, Major:IE, Enrollment:No, Year:Senior, Age:13
ID:255, Name:Reata, Major:CHE, Enrollment:No, Year:Freshman, Age:13
ID:562, Name:Selen, Major:ECE, Enrollment:No, Year:Junior, Age:13
ID:5, Name:Jahleah, Major:CS, Enrollment:Yes, Year:Freshman, Age:13
ID:431, Name:Loralai, Major:ME, Enrollment:Yes, Year:Sophomore, Age:13
ID:83, Name:Trystan, Major:AA, Enrollment:No, Year:Senior, Age:13
ID:87, Name:Syier, Major:AA, Enrollment:Yes, Year:Senior, Age:13
ID:221, Name:Adassa, Major:BME, Enrollment:Yes, Year:Junior, Age:13
ID:182, Name:Carly, Major:IE, Enrollment:No, Year:Freshman, Age:13
ID:710, Name:Pascual, Major:AA, Enrollment:No, Year:Freshman, Age:13
ID:172, Name:Kiiara, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:13
ID:718, Name:Taylynn, Major:IE, Enrollment:Yes, Year:Junior, Age:13
ID:658, Name:Shuaib, Major:ECE, Enrollment:Yes, Year:Freshman, Age:13
ID:595, Name:Zirui, Major:CHE, Enrollment:No, Year:Sophomore, Age:13
ID:7, Name:Tyjae, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:13
ID:88, Name:Addeline, Major:CHE, Enrollment:No, Year:Senior, Age:13
ID:230, Name:Isabela, Major:BME, Enrollment:No, Year:Senior, Age:13
ID:118, Name:Armahni, Major:CHE, Enrollment:No, Year:Sophomore, Age:13
ID:184, Name:Roran, Major:CS, Enrollment:Yes, Year:Junior, Age:13
ID:117, Name:Yanal, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:13
ID:229, Name:Genesi, Major:AA, Enrollment:No, Year:Junior, Age:13
ID:628, Name:Tyrone, Major:ME, Enrollment:No, Year:Junior, Age:13
ID:28, Name:Jiana, Major:BME, Enrollment:No, Year:Senior, Age:13
ID:292, Name:Aaira, Major:CS, Enrollment:Yes, Year:Freshman, Age:13
ID:699, Name:Shoaib, Major:CS, Enrollment:No, Year:Senior, Age:13
ID:308, Name:Lavinia, Major:IE, Enrollment:No, Year:Junior, Age:13
ID:183, Name:Jozy, Major:AA, Enrollment:Yes, Year:Junior, Age:14
ID:625, Name:Thessaly, Major:BME, Enrollment:Yes, Year:Junior, Age:14
ID:316, Name:Xela, Major:ME, Enrollment:No, Year:Junior, Age:14
ID:185, Name:Aneri, Major:AA, Enrollment:Yes, Year:Junior, Age:14
ID:322, Name:Masen, Major:CHE, Enrollment:Yes, Year:Senior, Age:14
ID:197, Name:Sajad, Major:ECE, Enrollment:Yes, Year:Junior, Age:14
ID:482, Name:Tom, Major:ME, Enrollment:Yes, Year:Junior, Age:14
ID:441, Name:Anaiya, Major:BME, Enrollment:Yes, Year:Sophomore, Age:14
ID:284, Name:Anaeli, Major:ME, Enrollment:Yes, Year:Senior, Age:14
ID:36, Name:Hubert, Major:IE, Enrollment:Yes, Year:Senior, Age:14
ID:225, Name:Ryaan, Major:IE, Enrollment:No, Year:Sophomore, Age:14
ID:651, Name:Chaarvi, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:14
ID:428, Name:Michael, Major:ME, Enrollment:Yes, Year:Freshman, Age:14
ID:594, Name:Kendell, Major:CS, Enrollment:No, Year:Freshman, Age:14
ID:633, Name:Maan, Major:IE, Enrollment:No, Year:Senior, Age:14
ID:424, Name:Jaymin, Major:IE, Enrollment:No, Year:Senior, Age:14
ID:234, Name:Yacob, Major:ECE, Enrollment:No, Year:Freshman, Age:14
ID:461, Name:Audreyana, Major:ABE, Enrollment:Yes, Year:Freshman, Age:14
ID:60, Name:Prish, Major:ECE, Enrollment:Yes, Year:Freshman, Age:14
ID:500, Name:Maclane, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:14
ID:451, Name:Khadijat, Major:CS, Enrollment:No, Year:Junior, Age:14
ID:456, Name:Jamiel, Major:ABE, Enrollment:Yes, Year:Freshman, Age:14
ID:76, Name:Jazzy, Major:ECE, Enrollment:Yes, Year:Freshman, Age:14
ID:648, Name:Alithea, Major:ABE, Enrollment:Yes, Year:Senior, Age:14
ID:138, Name:Torian, Major:IE, Enrollment:No, Year:Freshman, Age:14
ID:676, Name:Erion, Major:CHE, Enrollment:No, Year:Freshman, Age:14
ID:207, Name:Aneres, Major:CHE, Enrollment:Yes, Year:Freshman, Age:14
ID:398, Name:Samyrah, Major:ECE, Enrollment:Yes, Year:Junior, Age:14
ID:148, Name:Ruah, Major:ME, Enrollment:Yes, Year:Freshman, Age:14
ID:523, Name:Darilyn, Major:CHE, Enrollment:Yes, Year:Senior, Age:14
ID:303, Name:Sofie, Major:IE, Enrollment:No, Year:Senior, Age:14
ID:415, Name:Jocelyn, Major:CS, Enrollment:Yes, Year:Junior, Age:14
ID:121, Name:Davayah, Major:BME, Enrollment:Yes, Year:Freshman, Age:14
ID:630, Name:Amata, Major:CHE, Enrollment:No, Year:Senior, Age:14
ID:400, Name:Alanii, Major:CS, Enrollment:Yes, Year:Freshman, Age:14
ID:27, Name:Kierstan, Major:AA, Enrollment:No, Year:Sophomore, Age:14
ID:306, Name:Michaela, Major:IE, Enrollment:Yes, Year:Sophomore, Age:15
ID:264, Name:Jodie, Major:AA, Enrollment:Yes, Year:Junior, Age:15
ID:209, Name:Nathias, Major:IE, Enrollment:No, Year:Freshman, Age:15
ID:275, Name:Maylyn, Major:AA, Enrollment:Yes, Year:Freshman, Age:15
ID:276, Name:Zayon, Major:IE, Enrollment:Yes, Year:Senior, Age:15
ID:250, Name:Quetzali, Major:IE, Enrollment:Yes, Year:Junior, Age:15
ID:91, Name:Surina, Major:AA, Enrollment:No, Year:Freshman, Age:15
ID:588, Name:Kylin, Major:ECE, Enrollment:No, Year:Sophomore, Age:15
ID:692, Name:Nello, Major:ABE, Enrollment:Yes, Year:Senior, Age:15
ID:66, Name:Raksha, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:15
ID:71, Name:Yardley, Major:AA, Enrollment:Yes, Year:Junior, Age:15
ID:587, Name:Clementine, Major:AA, Enrollment:No, Year:Senior, Age:15
ID:111, Name:Tyanna, Major:ABE, Enrollment:No, Year:Freshman, Age:15
ID:426, Name:Jalana, Major:CS, Enrollment:No, Year:Sophomore, Age:15
ID:593, Name:Serine, Major:IE, Enrollment:Yes, Year:Freshman, Age:15
ID:106, Name:Rob, Major:ABE, Enrollment:No, Year:Sophomore, Age:15
ID:124, Name:Kanyla, Major:ME, Enrollment:No, Year:Junior, Age:15
ID:558, Name:Zamya, Major:ME, Enrollment:No, Year:Senior, Age:15
ID:538, Name:Karrah, Major:BME, Enrollment:No, Year:Senior, Age:15
ID:26, Name:Ilija, Major:ECE, Enrollment:No, Year:Senior, Age:15
ID:542, Name:Caleb, Major:AA, Enrollment:No, Year:Senior, Age:15
ID:463, Name:Tytus, Major:ECE, Enrollment:No, Year:Sophomore, Age:15
ID:50, Name:Rayce, Major:CHE, Enrollment:Yes, Year:Senior, Age:15
ID:491, Name:Kalid, Major:ME, Enrollment:Yes, Year:Sophomore, Age:15
ID:570, Name:Booker, Major:ME, Enrollment:Yes, Year:Senior, Age:15
ID:705, Name:Kysen, Major:ECE, Enrollment:No, Year:Sophomore, Age:15
ID:332, Name:Elston, Major:ECE, Enrollment:Yes, Year:Junior, Age:15
ID:664, Name:Izaac, Major:AA, Enrollment:Yes, Year:Senior, Age:15
ID:137, Name:Khia, Major:ME, Enrollment:No, Year:Senior, Age:15
ID:378, Name:Jeremih, Major:ABE, Enrollment:Yes, Year:Freshman, Age:15
ID:338, Name:Aseel, Major:ABE, Enrollment:No, Year:Sophomore, Age:15
ID:339, Name:Halee, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:15
ID:385, Name:Carolee, Major:ECE, Enrollment:No, Year:Sophomore, Age:15
ID:150, Name:Greenly, Major:ME, Enrollment:Yes, Year:Freshman, Age:15
ID:340, Name:Tytan, Major:ABE, Enrollment:Yes, Year:Senior, Age:15
ID:682, Name:Jianna, Major:CHE, Enrollment:Yes, Year:Freshman, Age:15
ID:359, Name:Lucio, Major:ABE, Enrollment:No, Year:Freshman, Age:15
ID:407, Name:Amirali, Major:CS, Enrollment:No, Year:Freshman, Age:15
ID:661, Name:Alany, Major:ABE, Enrollment:No, Year:Senior, Age:15
ID:179, Name:Renner, Major:ECE, Enrollment:No, Year:Junior, Age:15
ID:342, Name:Seenaa, Major:IE, Enrollment:Yes, Year:Senior, Age:16
ID:579, Name:Winslow, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:16
ID:356, Name:Janyiah, Major:IE, Enrollment:Yes, Year:Senior, Age:16
ID:258, Name:Rameen, Major:IE, Enrollment:Yes, Year:Senior, Age:16
ID:560, Name:Montgomery, Major:IE, Enrollment:No, Year:Junior, Age:16
ID:547, Name:Kayton, Major:CS, Enrollment:Yes, Year:Freshman, Age:16
ID:341, Name:Abhirami, Major:AA, Enrollment:Yes, Year:Junior, Age:16
ID:567, Name:Kayan, Major:BME, Enrollment:Yes, Year:Senior, Age:16
ID:266, Name:Preslynn, Major:ME, Enrollment:Yes, Year:Sophomore, Age:16
ID:299, Name:Wilfredo, Major:CS, Enrollment:No, Year:Freshman, Age:16
ID:427, Name:Saaya, Major:AA, Enrollment:No, Year:Junior, Age:16
ID:412, Name:Britton, Major:IE, Enrollment:No, Year:Senior, Age:16
ID:598, Name:Suzana, Major:IE, Enrollment:Yes, Year:Freshman, Age:16
ID:434, Name:Janalee, Major:ECE, Enrollment:Yes, Year:Senior, Age:16
ID:296, Name:Khalessi, Major:BME, Enrollment:Yes, Year:Sophomore, Age:16
ID:425, Name:Evann, Major:ECE, Enrollment:Yes, Year:Senior, Age:16
ID:418, Name:Khalil, Major:AA, Enrollment:No, Year:Sophomore, Age:16
ID:366, Name:Emanii, Major:CS, Enrollment:Yes, Year:Senior, Age:16
ID:589, Name:Eran, Major:IE, Enrollment:Yes, Year:Freshman, Age:16
ID:636, Name:Kadir, Major:IE, Enrollment:Yes, Year:Freshman, Age:16
ID:457, Name:Kaden, Major:ABE, Enrollment:Yes, Year:Senior, Age:16
ID:591, Name:Reya, Major:ME, Enrollment:Yes, Year:Freshman, Age:16
ID:384, Name:Danieljames, Major:ABE, Enrollment:Yes, Year:Junior, Age:16
ID:447, Name:Zahkeem, Major:CHE, Enrollment:No, Year:Junior, Age:16
ID:554, Name:Aara, Major:AA, Enrollment:Yes, Year:Freshman, Age:16
ID:127, Name:Senna, Major:ABE, Enrollment:No, Year:Sophomore, Age:16
ID:168, Name:Shannen, Major:BME, Enrollment:No, Year:Freshman, Age:16
ID:52, Name:Bay, Major:ME, Enrollment:No, Year:Junior, Age:16
ID:114, Name:Demir, Major:AA, Enrollment:No, Year:Freshman, Age:16
ID:665, Name:Lexie, Major:ECE, Enrollment:Yes, Year:Junior, Age:16
ID:663, Name:Czarina, Major:CS, Enrollment:No, Year:Freshman, Age:16
ID:140, Name:Emmani, Major:CS, Enrollment:No, Year:Freshman, Age:16
ID:677, Name:Ames, Major:IE, Enrollment:No, Year:Junior, Age:16
ID:241, Name:Tate, Major:ME, Enrollment:Yes, Year:Senior, Age:16
ID:670, Name:Kalyah, Major:CS, Enrollment:No, Year:Sophomore, Age:16
ID:136, Name:Anayalee, Major:CS, Enrollment:Yes, Year:Sophomore, Age:16
ID:51, Name:Laianna, Major:IE, Enrollment:No, Year:Freshman, Age:16
ID:674, Name:Mouhammad, Major:ME, Enrollment:No, Year:Junior, Age:16
ID:700, Name:Philopateer, Major:ECE, Enrollment:No, Year:Sophomore, Age:16
ID:61, Name:Ellyssa, Major:CS, Enrollment:No, Year:Junior, Age:16
ID:82, Name:Cattleya, Major:ECE, Enrollment:No, Year:Freshman, Age:16
ID:104, Name:Azyia, Major:IE, Enrollment:No, Year:Senior, Age:16
ID:180, Name:Emlynn, Major:ME, Enrollment:Yes, Year:Sophomore, Age:16
ID:215, Name:Jazline, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:16
ID:367, Name:Julion, Major:IE, Enrollment:Yes, Year:Sophomore, Age:17
ID:612, Name:Cora, Major:ABE, Enrollment:Yes, Year:Junior, Age:17
ID:156, Name:Kaia, Major:IE, Enrollment:No, Year:Sophomore, Age:17
ID:609, Name:Zandria, Major:IE, Enrollment:No, Year:Freshman, Age:17
ID:200, Name:Manning, Major:ABE, Enrollment:No, Year:Senior, Age:17
ID:3, Name:Nahlia, Major:ECE, Enrollment:No, Year:Senior, Age:17
ID:202, Name:Houston, Major:IE, Enrollment:Yes, Year:Sophomore, Age:17
ID:355, Name:Sergei, Major:ECE, Enrollment:No, Year:Sophomore, Age:17
ID:350, Name:Cahlil, Major:CHE, Enrollment:Yes, Year:Freshman, Age:17
ID:540, Name:Macaria, Major:ME, Enrollment:No, Year:Senior, Age:17
ID:175, Name:Yared, Major:ECE, Enrollment:Yes, Year:Freshman, Age:17
ID:300, Name:Yanal, Major:CS, Enrollment:Yes, Year:Freshman, Age:17
ID:65, Name:Rylen, Major:ECE, Enrollment:No, Year:Senior, Age:17
ID:430, Name:Jakarii, Major:CHE, Enrollment:Yes, Year:Senior, Age:17
ID:437, Name:Kadija, Major:ECE, Enrollment:Yes, Year:Senior, Age:17
ID:421, Name:Noura, Major:ME, Enrollment:No, Year:Sophomore, Age:17
ID:684, Name:Colbi, Major:CS, Enrollment:Yes, Year:Junior, Age:17
ID:92, Name:Kaynen, Major:ME, Enrollment:No, Year:Junior, Age:17
ID:695, Name:Coston, Major:CHE, Enrollment:No, Year:Junior, Age:17
ID:443, Name:Alashia, Major:ABE, Enrollment:Yes, Year:Junior, Age:17
ID:151, Name:Armoni, Major:IE, Enrollment:No, Year:Senior, Age:17
ID:145, Name:Zakyra, Major:CHE, Enrollment:Yes, Year:Senior, Age:17
ID:62, Name:Nilani, Major:CS, Enrollment:No, Year:Junior, Age:17
ID:392, Name:Sevin, Major:AA, Enrollment:Yes, Year:Senior, Age:17
ID:386, Name:Veyah, Major:BME, Enrollment:Yes, Year:Sophomore, Age:17
ID:505, Name:Amea, Major:AA, Enrollment:Yes, Year:Senior, Age:17
ID:122, Name:Jalynn, Major:CS, Enrollment:No, Year:Senior, Age:17
ID:524, Name:Edras, Major:AA, Enrollment:No, Year:Sophomore, Age:17
ID:20, Name:Yaniel, Major:CS, Enrollment:No, Year:Junior, Age:17
ID:509, Name:Joon, Major:ABE, Enrollment:No, Year:Junior, Age:17
ID:262, Name:Herminia, Major:CHE, Enrollment:No, Year:Senior, Age:17
ID:643, Name:Fitz, Major:AA, Enrollment:Yes, Year:Sophomore, Age:17
ID:637, Name:Yovani, Major:CS, Enrollment:No, Year:Junior, Age:17
ID:548, Name:Jhase, Major:AA, Enrollment:Yes, Year:Sophomore, Age:17
ID:251, Name:Abbi, Major:ECE, Enrollment:Yes, Year:Senior, Age:17
ID:440, Name:Adedamola, Major:ME, Enrollment:Yes, Year:Freshman, Age:18
ID:685, Name:Hannie, Major:CS, Enrollment:No, Year:Sophomore, Age:18
ID:222, Name:Xan, Major:IE, Enrollment:No, Year:Senior, Age:18
ID:690, Name:Anyelina, Major:CS, Enrollment:Yes, Year:Sophomore, Age:18
ID:458, Name:Arielyz, Major:ME, Enrollment:No, Year:Sophomore, Age:18
ID:55, Name:Camarie, Major:CHE, Enrollment:No, Year:Freshman, Age:18
ID:326, Name:Tenaya, Major:ECE, Enrollment:No, Year:Freshman, Age:18
ID:328, Name:Dkayla, Major:CS, Enrollment:Yes, Year:Sophomore, Age:18
ID:377, Name:Aaliyahrose, Major:ABE, Enrollment:Yes, Year:Junior, Age:18
ID:227, Name:Arai, Major:AA, Enrollment:Yes, Year:Senior, Age:18
ID:257, Name:Cassadee, Major:CHE, Enrollment:Yes, Year:Junior, Age:18
ID:1, Name:Leopoldo, Major:ME, Enrollment:No, Year:Sophomore, Age:18
ID:348, Name:Safiyah, Major:IE, Enrollment:Yes, Year:Sophomore, Age:18
ID:29, Name:Jamesyn, Major:IE, Enrollment:No, Year:Sophomore, Age:18
ID:132, Name:Elynn, Major:IE, Enrollment:Yes, Year:Senior, Age:18
ID:640, Name:Milaysia, Major:ECE, Enrollment:No, Year:Freshman, Age:18
ID:479, Name:Garren, Major:CS, Enrollment:No, Year:Junior, Age:18
ID:464, Name:Zahirah, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:18
ID:528, Name:Eternity, Major:BME, Enrollment:No, Year:Sophomore, Age:18
ID:410, Name:Lively, Major:ECE, Enrollment:Yes, Year:Senior, Age:18
ID:242, Name:Tajh, Major:AA, Enrollment:No, Year:Junior, Age:18
ID:133, Name:Eveyln, Major:BME, Enrollment:No, Year:Senior, Age:18
ID:601, Name:Jaylianis, Major:ABE, Enrollment:Yes, Year:Freshman, Age:18
ID:112, Name:Jasten, Major:IE, Enrollment:Yes, Year:Senior, Age:18
ID:214, Name:Masin, Major:CHE, Enrollment:No, Year:Freshman, Age:18
ID:361, Name:Gwyndolyn, Major:ECE, Enrollment:Yes, Year:Freshman, Age:18
ID:696, Name:Yasuri, Major:CS, Enrollment:Yes, Year:Junior, Age:18
ID:263, Name:Tanner, Major:BME, Enrollment:Yes, Year:Senior, Age:18
ID:394, Name:Azeneth, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:18
ID:487, Name:Frederic, Major:CHE, Enrollment:No, Year:Freshman, Age:18
ID:619, Name:Alreem, Major:BME, Enrollment:Yes, Year:Senior, Age:18
ID:541, Name:Jiovany, Major:AA, Enrollment:Yes, Year:Freshman, Age:18
ID:468, Name:Trajan, Major:AA, Enrollment:Yes, Year:Freshman, Age:18
ID:380, Name:Mariona, Major:CHE, Enrollment:Yes, Year:Junior, Age:18
