ID:196, Name:Camya, Major:AA, Enrollment:No, Year:Senior, Age:10
ID:446, Name:Anabelen, Major:BME, Enrollment:No, Year:Junior, Age:13
ID:587, Name:Omelia, Major:IE, Enrollment:No, Year:Junior, Age:13
ID:516, Name:Obada, Major:ECE, Enrollment:No, Year:Sophomore, Age:13
ID:121, Name:Nazly, Major:BME, Enrollment:Yes, Year:Senior, Age:13
ID:293, Name:Canaan, Major:IE, Enrollment:No, Year:Sophomore, Age:13
ID:130, Name:Kallen, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:13
ID:311, Name:Avreet, Major:ABE, Enrollment:No, Year:Freshman, Age:13
ID:160, Name:Fowler, Major:CHE, Enrollment:Yes, Year:Freshman, Age:13
ID:105, Name:Diona, Major:BME, Enrollment:Yes, Year:Junior, Age:13
ID:479, Name:Isyss, Major:ECE, Enrollment:Yes, Year:Junior, Age:13
ID:148, Name:Noemie, Major:CS, Enrollment:Yes, Year:Freshman, Age:13
ID:591, Name:Elyanah, Major:IE, Enrollment:Yes, Year:Senior, Age:13
ID:265, Name:Candace, Major:AA, Enrollment:No, Year:Senior, Age:13
ID:274, Name:Cadence, Major:ECE, Enrollment:No, Year:Sophomore, Age:13
ID:391, Name:Shahmir, Major:ME, Enrollment:No, Year:Sophomore, Age:13
ID:558, Name:Lucienne, Major:IE, Enrollment:No, Year:Senior, Age:13
ID:80, Name:Nesiah, Major:ABE, Enrollment:No, Year:Junior, Age:13
ID:57, Name:Raidyn, Major:AA, Enrollment:No, Year:Freshman, Age:13
ID:345, Name:Giavonna, Major:AA, Enrollment:No, Year:Sophomore, Age:13
ID:199, Name:Sarah, Major:ABE, Enrollment:No, Year:Freshman, Age:13
ID:400, Name:Kahmya, Major:IE, Enrollment:Yes, Year:Sophomore, Age:13
ID:333, Name:Vrishank, Major:BME, Enrollment:No, Year:Senior, Age:13
ID:214, Name:Araia, Major:ME, Enrollment:No, Year:Sophomore, Age:13
ID:133, Name:Joandry, Major:CS, Enrollment:No, Year:Senior, Age:14
ID:424, Name:Hibo, Major:CS, Enrollment:No, Year:Senior, Age:14
ID:381, Name:Akim, Major:AA, Enrollment:Yes, Year:Freshman, Age:14
ID:143, Name:Myha, Major:BME, Enrollment:No, Year:Junior, Age:14
ID:498, Name:Vashawn, Major:CHE, Enrollment:No, Year:Senior, Age:14
ID:494, Name:Shaelyn, Major:IE, Enrollment:No, Year:Sophomore, Age:14
ID:323, Name:Teyla, Major:ME, Enrollment:No, Year:Junior, Age:14
ID:347, Name:Roslin, Major:CS, Enrollment:Yes, Year:Sophomore, Age:14
ID:247, Name:Jahnya, Major:ECE, Enrollment:Yes, Year:Freshman, Age:14
ID:364, Name:Briceson, Major:BME, Enrollment:No, Year:Sophomore, Age:14
ID:500, Name:Loa, Major:BME, Enrollment:Yes, Year:Sophomore, Age:14
ID:238, Name:Ayani, Major:CHE, Enrollment:Yes, Year:Junior, Age:14
ID:375, Name:Aalaya, Major:IE, Enrollment:No, Year:Sophomore, Age:14
ID:216, Name:Kawai, Major:CHE, Enrollment:No, Year:Sophomore, Age:14
ID:175, Name:Siddhartha, Major:CS, Enrollment:No, Year:Senior, Age:14
ID:25, Name:Belen, Major:ECE, Enrollment:No, Year:Senior, Age:14
ID:8, Name:Strickland, Major:IE, Enrollment:No, Year:Junior, Age:14
ID:29, Name:Waleed, Major:ECE, Enrollment:No, Year:Junior, Age:14
ID:459, Name:Ivey, Major:ECE, Enrollment:No, Year:Senior, Age:14
ID:461, Name:Jaianna, Major:ME, Enrollment:No, Year:Sophomore, Age:14
ID:230, Name:Lavanna, Major:ME, Enrollment:No, Year:Junior, Age:14
ID:150, Name:Inara, Major:ME, Enrollment:Yes, Year:Senior, Age:14
ID:487, Name:Lexia, Major:CHE, Enrollment:No, Year:Senior, Age:14
ID:280, Name:Adelay, Major:ECE, Enrollment:Yes, Year:Junior, Age:14
ID:477, Name:Domenica, Major:BME, Enrollment:No, Year:Junior, Age:14
ID:192, Name:Carly, Major:IE, Enrollment:Yes, Year:Senior, Age:14
ID:386, Name:Cashlynn, Major:CHE, Enrollment:Yes, Year:Senior, Age:14
ID:303, Name:Zurri, Major:IE, Enrollment:Yes, Year:Freshman, Age:14
ID:533, Name:Jennalee, Major:CHE, Enrollment:No, Year:Senior, Age:14
ID:531, Name:Henrietta, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:14
ID:94, Name:Kaisei, Major:IE, Enrollment:Yes, Year:Freshman, Age:14
ID:574, Name:Lena, Major:CHE, Enrollment:No, Year:Freshman, Age:14
ID:13, Name:Sanii, Major:CS, Enrollment:No, Year:Junior, Age:14
ID:528, Name:Torii, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:14
ID:584, Name:Davidson, Major:AA, Enrollment:Yes, Year:Sophomore, Age:14
ID:75, Name:Elky, Major:ECE, Enrollment:No, Year:Freshman, Age:14
ID:537, Name:Bud, Major:ECE, Enrollment:No, Year:Junior, Age:14
ID:89, Name:Maheer, Major:CHE, Enrollment:No, Year:Junior, Age:14
ID:82, Name:Miro, Major:ABE, Enrollment:No, Year:Senior, Age:14
ID:567, Name:Skyelin, Major:IE, Enrollment:Yes, Year:Sophomore, Age:14
ID:441, Name:Izma, Major:BME, Enrollment:Yes, Year:Senior, Age:15
ID:418, Name:Eralynn, Major:CHE, Enrollment:No, Year:Junior, Age:15
ID:325, Name:Brad, Major:IE, Enrollment:No, Year:Senior, Age:15
ID:95, Name:Zadyn, Major:BME, Enrollment:Yes, Year:Junior, Age:15
ID:244, Name:Zayden, Major:IE, Enrollment:Yes, Year:Senior, Age:15
ID:411, Name:Abdul, Major:BME, Enrollment:No, Year:Sophomore, Age:15
ID:550, Name:Shivi, Major:AA, Enrollment:No, Year:Freshman, Age:15
ID:292, Name:Kourtney, Major:AA, Enrollment:Yes, Year:Freshman, Age:15
ID:250, Name:Karol, Major:IE, Enrollment:Yes, Year:Freshman, Age:15
ID:169, Name:Nesiah, Major:ME, Enrollment:Yes, Year:Senior, Age:15
ID:534, Name:Natnael, Major:ABE, Enrollment:Yes, Year:Senior, Age:15
ID:366, Name:Saundra, Major:AA, Enrollment:No, Year:Sophomore, Age:15
ID:319, Name:Nazli, Major:IE, Enrollment:Yes, Year:Senior, Age:15
ID:167, Name:Akiles, Major:ECE, Enrollment:Yes, Year:Freshman, Age:15
ID:68, Name:Rosendo, Major:BME, Enrollment:No, Year:Senior, Age:15
ID:35, Name:Kapri, Major:ECE, Enrollment:Yes, Year:Freshman, Age:15
ID:239, Name:Dakodah, Major:BME, Enrollment:Yes, Year:Junior, Age:15
ID:559, Name:Ossian, Major:AA, Enrollment:Yes, Year:Senior, Age:15
ID:229, Name:Vicky, Major:ME, Enrollment:Yes, Year:Sophomore, Age:15
ID:226, Name:Ayven, Major:CS, Enrollment:Yes, Year:Freshman, Age:15
ID:371, Name:Kenzington, Major:CHE, Enrollment:Yes, Year:Junior, Age:15
ID:242, Name:Anaka, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:15
ID:269, Name:Domonic, Major:CHE, Enrollment:No, Year:Senior, Age:15
ID:557, Name:Keyla, Major:ECE, Enrollment:No, Year:Freshman, Age:15
ID:570, Name:Jama, Major:ABE, Enrollment:Yes, Year:Senior, Age:15
ID:218, Name:Samuel, Major:ABE, Enrollment:No, Year:Freshman, Age:15
ID:495, Name:Judith, Major:CS, Enrollment:No, Year:Sophomore, Age:15
ID:575, Name:Vyla, Major:AA, Enrollment:No, Year:Freshman, Age:15
ID:336, Name:Eli, Major:AA, Enrollment:No, Year:Senior, Age:15
ID:474, Name:Pipper, Major:BME, Enrollment:Yes, Year:Senior, Age:15
ID:149, Name:Brodey, Major:CHE, Enrollment:No, Year:Senior, Age:15
ID:358, Name:Aven, Major:AA, Enrollment:No, Year:Senior, Age:15
ID:162, Name:Badr, Major:CS, Enrollment:No, Year:Sophomore, Age:15
ID:233, Name:Evely, Major:ABE, Enrollment:Yes, Year:Freshman, Age:15
ID:138, Name:Geena, Major:IE, Enrollment:No, Year:Junior, Age:15
ID:520, Name:Drue, Major:ECE, Enrollment:No, Year:Senior, Age:15
ID:264, Name:Kiah, Major:IE, Enrollment:Yes, Year:Senior, Age:15
ID:235, Name:Kenedee, Major:ABE, Enrollment:No, Year:Freshman, Age:15
ID:491, Name:Jubal, Major:ME, Enrollment:Yes, Year:Sophomore, Age:15
ID:142, Name:Jeronimo, Major:IE, Enrollment:No, Year:Freshman, Age:15
ID:66, Name:Lakendrick, Major:BME, Enrollment:Yes, Year:Sophomore, Age:16
ID:427, Name:Kavin, Major:CS, Enrollment:Yes, Year:Senior, Age:16
ID:284, Name:Sultana, Major:BME, Enrollment:Yes, Year:Freshman, Age:16
ID:131, Name:Michell, Major:ME, Enrollment:Yes, Year:Junior, Age:16
ID:283, Name:Alysse, Major:ME, Enrollment:Yes, Year:Sophomore, Age:16
ID:285, Name:Amily, Major:AA, Enrollment:Yes, Year:Senior, Age:16
ID:402, Name:Aland, Major:BME, Enrollment:No, Year:Freshman, Age:16
ID:313, Name:Burkley, Major:CHE, Enrollment:Yes, Year:Junior, Age:16
ID:392, Name:Jayvin, Major:CS, Enrollment:No, Year:Sophomore, Age:16
ID:58, Name:Krysten, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:16
ID:205, Name:Dumar, Major:ME, Enrollment:Yes, Year:Senior, Age:16
ID:569, Name:Bentlee, Major:AA, Enrollment:Yes, Year:Senior, Age:16
ID:59, Name:Babacar, Major:BME, Enrollment:No, Year:Senior, Age:16
ID:573, Name:Taeden, Major:ABE, Enrollment:Yes, Year:Senior, Age:16
ID:469, Name:Daytona, Major:CS, Enrollment:No, Year:Senior, Age:16
ID:100, Name:Jese, Major:IE, Enrollment:No, Year:Junior, Age:16
ID:452, Name:Aniceto, Major:BME, Enrollment:Yes, Year:Junior, Age:16
ID:137, Name:Cecilya, Major:BME, Enrollment:Yes, Year:Junior, Age:16
ID:572, Name:Aylla, Major:ME, Enrollment:No, Year:Freshman, Age:16
ID:368, Name:Rainier, Major:ME, Enrollment:Yes, Year:Freshman, Age:16
ID:309, Name:Oshay, Major:ME, Enrollment:Yes, Year:Freshman, Age:16
ID:158, Name:Reeve, Major:CS, Enrollment:Yes, Year:Freshman, Age:16
ID:306, Name:Chason, Major:BME, Enrollment:No, Year:Freshman, Age:16
ID:147, Name:Rockey, Major:ABE, Enrollment:Yes, Year:Senior, Age:17
ID:60, Name:Basit, Major:ECE, Enrollment:No, Year:Junior, Age:17
ID:523, Name:Hieu, Major:CHE, Enrollment:No, Year:Senior, Age:17
ID:551, Name:Yahvi, Major:BME, Enrollment:No, Year:Sophomore, Age:17
ID:312, Name:Kashia, Major:ME, Enrollment:Yes, Year:Senior, Age:17
ID:527, Name:Angellica, Major:ME, Enrollment:No, Year:Sophomore, Age:17
ID:43, Name:Krishan, Major:ECE, Enrollment:Yes, Year:Senior, Age:17
ID:579, Name:Ghada, Major:AA, Enrollment:No, Year:Senior, Age:17
ID:71, Name:Maxi, Major:ME, Enrollment:Yes, Year:Sophomore, Age:17
ID:172, Name:Tulip, Major:ME, Enrollment:Yes, Year:Freshman, Age:17
ID:171, Name:Angelyne, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:17
ID:125, Name:Aeliana, Major:CHE, Enrollment:No, Year:Freshman, Age:17
ID:594, Name:Tianna, Major:AA, Enrollment:No, Year:Junior, Age:17
ID:513, Name:Jayron, Major:ME, Enrollment:No, Year:Junior, Age:17
ID:45, Name:Jered, Major:ECE, Enrollment:Yes, Year:Junior, Age:17
ID:328, Name:Roselynne, Major:ABE, Enrollment:No, Year:Senior, Age:17
ID:329, Name:Kamiylah, Major:IE, Enrollment:No, Year:Senior, Age:17
ID:183, Name:Kailana, Major:BME, Enrollment:Yes, Year:Freshman, Age:17
ID:445, Name:Darshan, Major:IE, Enrollment:Yes, Year:Junior, Age:17
ID:282, Name:Tengis, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:17
ID:107, Name:Arii, Major:ABE, Enrollment:No, Year:Senior, Age:17
ID:22, Name:Giah, Major:ECE, Enrollment:No, Year:Sophomore, Age:17
ID:176, Name:Ethanalexander, Major:ECE, Enrollment:Yes, Year:Junior, Age:17
ID:404, Name:Alyannah, Major:CS, Enrollment:Yes, Year:Senior, Age:17
ID:152, Name:Della, Major:ME, Enrollment:Yes, Year:Junior, Age:17
ID:530, Name:Zalynn, Major:ME, Enrollment:No, Year:Senior, Age:17
ID:546, Name:Jeffery, Major:CS, Enrollment:Yes, Year:Senior, Age:17
ID:464, Name:Zaina, Major:ABE, Enrollment:Yes, Year:Senior, Age:17
ID:351, Name:Aenea, Major:CS, Enrollment:Yes, Year:Junior, Age:17
ID:338, Name:Arnie, Major:AA, Enrollment:Yes, Year:Freshman, Age:18
ID:5, Name:Eylin, Major:AA, Enrollment:No, Year:Sophomore, Age:18
ID:4, Name:Carver, Major:IE, Enrollment:No, Year:Senior, Age:18
ID:577, Name:Murari, Major:ECE, Enrollment:Yes, Year:Junior, Age:18
ID:362, Name:Ripley, Major:AA, Enrollment:Yes, Year:Sophomore, Age:18
ID:349, Name:Nyemiah, Major:BME, Enrollment:Yes, Year:Senior, Age:18
ID:161, Name:Oluwafikayomi, Major:ME, Enrollment:Yes, Year:Senior, Age:18
ID:103, Name:Yeraldine, Major:ABE, Enrollment:No, Year:Junior, Age:18
ID:529, Name:Zalan, Major:AA, Enrollment:No, Year:Freshman, Age:18
ID:156, Name:Khassidy, Major:ABE, Enrollment:No, Year:Freshman, Age:18
ID:170, Name:Zarie, Major:CHE, Enrollment:Yes, Year:Junior, Age:18
ID:314, Name:Tynley, Major:CHE, Enrollment:Yes, Year:Freshman, Age:18
ID:593, Name:Jalaila, Major:ECE, Enrollment:Yes, Year:Senior, Age:18
ID:497, Name:Darcey, Major:AA, Enrollment:Yes, Year:Sophomore, Age:18
ID:493, Name:Jansen, Major:ME, Enrollment:Yes, Year:Sophomore, Age:18
ID:109, Name:Suany, Major:ME, Enrollment:No, Year:Sophomore, Age:18
ID:490, Name:Irais, Major:IE, Enrollment:Yes, Year:Senior, Age:18
ID:12, Name:Raghad, Major:IE, Enrollment:No, Year:Senior, Age:18
ID:31, Name:Faida, Major:BME, Enrollment:Yes, Year:Freshman, Age:18
ID:590, Name:Fallynn, Major:CS, Enrollment:No, Year:Junior, Age:18
ID:76, Name:Haleema, Major:AA, Enrollment:Yes, Year:Junior, Age:18
ID:405, Name:Aaniyah, Major:ABE, Enrollment:Yes, Year:Junior, Age:18
ID:395, Name:Antonyo, Major:ECE, Enrollment:Yes, Year:Junior, Age:18
ID:33, Name:Duvid, Major:AA, Enrollment:No, Year:Junior, Age:18
ID:222, Name:Janaki, Major:ME, Enrollment:Yes, Year:Junior, Age:18
ID:193, Name:Raghad, Major:BME, Enrollment:Yes, Year:Junior, Age:18
ID:30, Name:Lilie, Major:AA, Enrollment:Yes, Year:Junior, Age:18
ID:204, Name:Noraleigh, Major:ME, Enrollment:No, Year:Sophomore, Age:18
ID:307, Name:Jaccob, Major:CS, Enrollment:No, Year:Sophomore, Age:19
ID:317, Name:Kassi, Major:ABE, Enrollment:Yes, Year:Freshman, Age:19
ID:47, Name:Thayden, Major:BME, Enrollment:No, Year:Freshman, Age:19
ID:585, Name:Tremelle, Major:IE, Enrollment:Yes, Year:Sophomore, Age:19
ID:126, Name:Allura, Major:CHE, Enrollment:Yes, Year:Junior, Age:19
ID:200, Name:Caraline, Major:BME, Enrollment:No, Year:Senior, Age:19
ID:86, Name:Mirah, Major:CHE, Enrollment:No, Year:Freshman, Age:19
ID:544, Name:Sargun, Major:ECE, Enrollment:No, Year:Junior, Age:19
ID:488, Name:Sujay, Major:BME, Enrollment:Yes, Year:Sophomore, Age:19
ID:112, Name:Faustino, Major:ME, Enrollment:No, Year:Sophomore, Age:19
ID:202, Name:Nur, Major:IE, Enrollment:No, Year:Sophomore, Age:19
ID:522, Name:Ivory, Major:CS, Enrollment:Yes, Year:Sophomore, Age:19
ID:182, Name:Salice, Major:BME, Enrollment:No, Year:Sophomore, Age:19
ID:174, Name:Corde, Major:ME, Enrollment:No, Year:Freshman, Age:19
ID:166, Name:Jovee, Major:ECE, Enrollment:Yes, Year:Junior, Age:19
ID:470, Name:Jamael, Major:IE, Enrollment:No, Year:Junior, Age:19
ID:535, Name:Truman, Major:AA, Enrollment:Yes, Year:Freshman, Age:19
ID:532, Name:Aymen, Major:AA, Enrollment:Yes, Year:Senior, Age:19
ID:245, Name:Dein, Major:ECE, Enrollment:Yes, Year:Junior, Age:19
ID:370, Name:Stan, Major:ECE, Enrollment:Yes, Year:Freshman, Age:19
ID:374, Name:Addilee, Major:ME, Enrollment:Yes, Year:Sophomore, Age:19
ID:259, Name:Mila, Major:ECE, Enrollment:No, Year:Junior, Age:19
ID:257, Name:Julionna, Major:ME, Enrollment:Yes, Year:Senior, Age:19
ID:215, Name:Furqan, Major:ECE, Enrollment:No, Year:Sophomore, Age:19
ID:388, Name:Azaylee, Major:ECE, Enrollment:Yes, Year:Junior, Age:19
ID:562, Name:Karyme, Major:IE, Enrollment:No, Year:Freshman, Age:19
ID:519, Name:Armel, Major:ECE, Enrollment:Yes, Year:Junior, Age:19
ID:499, Name:Everrett, Major:ECE, Enrollment:No, Year:Freshman, Age:19
ID:465, Name:Yiovanni, Major:AA, Enrollment:Yes, Year:Freshman, Age:20
ID:518, Name:Jaylen, Major:AA, Enrollment:No, Year:Senior, Age:20
ID:596, Name:Shari, Major:BME, Enrollment:Yes, Year:Freshman, Age:20
ID:354, Name:Lanyah, Major:ECE, Enrollment:No, Year:Freshman, Age:20
ID:334, Name:Paris, Major:ABE, Enrollment:Yes, Year:Junior, Age:20
ID:26, Name:Zamya, Major:BME, Enrollment:No, Year:Freshman, Age:20
ID:399, Name:Conleigh, Major:ABE, Enrollment:Yes, Year:Junior, Age:20
ID:17, Name:Makynlie, Major:CS, Enrollment:Yes, Year:Sophomore, Age:20
ID:377, Name:Kyair, Major:ME, Enrollment:Yes, Year:Sophomore, Age:20
ID:6, Name:Zakari, Major:AA, Enrollment:Yes, Year:Sophomore, Age:20
ID:457, Name:Braddock, Major:ECE, Enrollment:No, Year:Sophomore, Age:20
ID:538, Name:Doha, Major:BME, Enrollment:No, Year:Senior, Age:20
ID:549, Name:Rodderick, Major:ECE, Enrollment:No, Year:Junior, Age:20
ID:431, Name:Avontae, Major:ABE, Enrollment:No, Year:Senior, Age:20
ID:542, Name:Terra, Major:ME, Enrollment:No, Year:Sophomore, Age:20
ID:39, Name:Daksha, Major:CHE, Enrollment:No, Year:Junior, Age:20
ID:106, Name:King, Major:BME, Enrollment:No, Year:Freshman, Age:20
ID:108, Name:Lakelyn, Major:IE, Enrollment:Yes, Year:Junior, Age:20
ID:54, Name:Rosemarie, Major:ECE, Enrollment:No, Year:Senior, Age:20
ID:298, Name:Gemini, Major:IE, Enrollment:Yes, Year:Freshman, Age:20
ID:220, Name:Maury, Major:ECE, Enrollment:No, Year:Junior, Age:20
ID:36, Name:Ayotunde, Major:CS, Enrollment:No, Year:Junior, Age:20
ID:122, Name:Alley, Major:ECE, Enrollment:Yes, Year:Senior, Age:20
ID:288, Name:Karlos, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:20
ID:85, Name:Genysis, Major:ABE, Enrollment:No, Year:Sophomore, Age:20
ID:79, Name:Taiden, Major:CS, Enrollment:No, Year:Junior, Age:20
ID:287, Name:Renly, Major:AA, Enrollment:Yes, Year:Freshman, Age:20
ID:289, Name:Natsumi, Major:ME, Enrollment:Yes, Year:Senior, Age:20
ID:124, Name:Khyri, Major:CS, Enrollment:Yes, Year:Senior, Age:21
ID:373, Name:Fanuel, Major:ECE, Enrollment:No, Year:Senior, Age:21
ID:342, Name:Nason, Major:IE, Enrollment:Yes, Year:Junior, Age:21
ID:88, Name:Saija, Major:ABE, Enrollment:No, Year:Sophomore, Age:21
ID:249, Name:Bryer, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:21
ID:255, Name:Ishita, Major:ECE, Enrollment:No, Year:Junior, Age:21
ID:256, Name:Shamaya, Major:ABE, Enrollment:Yes, Year:Freshman, Age:21
ID:554, Name:Zackariya, Major:IE, Enrollment:No, Year:Senior, Age:21
ID:209, Name:Konstance, Major:BME, Enrollment:Yes, Year:Senior, Age:21
ID:180, Name:Emani, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:21
ID:178, Name:Masud, Major:AA, Enrollment:Yes, Year:Junior, Age:21
ID:468, Name:Alan, Major:ECE, Enrollment:Yes, Year:Senior, Age:21
ID:9, Name:Aryianna, Major:IE, Enrollment:Yes, Year:Sophomore, Age:21
ID:188, Name:Mirai, Major:ME, Enrollment:No, Year:Junior, Age:21
ID:444, Name:Gracelynne, Major:IE, Enrollment:Yes, Year:Junior, Age:21
ID:241, Name:Aliciana, Major:BME, Enrollment:No, Year:Junior, Age:21
ID:383, Name:Naudia, Major:AA, Enrollment:No, Year:Freshman, Age:21
ID:157, Name:Janielys, Major:CHE, Enrollment:Yes, Year:Freshman, Age:21
ID:135, Name:Onesti, Major:AA, Enrollment:No, Year:Junior, Age:21
ID:471, Name:Niyan, Major:CHE, Enrollment:Yes, Year:Senior, Age:21
ID:472, Name:Zylynn, Major:ECE, Enrollment:Yes, Year:Freshman, Age:21
ID:163, Name:Blayre, Major:BME, Enrollment:No, Year:Sophomore, Age:21
ID:430, Name:Jaquavious, Major:ECE, Enrollment:No, Year:Junior, Age:21
