ID:660, Name:Karuna, Major:ECE, Enrollment:No, Year:Sophomore, Age:12
ID:531, Name:Halyn, Major:IE, Enrollment:Yes, Year:Senior, Age:18
ID:433, Name:Haruka, Major:ME, Enrollment:Yes, Year:Sophomore, Age:14
ID:314, Name:Heavenlyjoy, Major:CHE, Enrollment:No, Year:Sophomore, Age:15
ID:178, Name:Hemi, Major:AA, Enrollment:Yes, Year:Senior, Age:14
ID:459, Name:Hiroshi, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:17
ID:631, Name:Hogan, Major:BME, Enrollment:Yes, Year:Freshman, Age:23
ID:375, Name:Hopelynn, Major:AA, Enrollment:Yes, Year:Senior, Age:19
ID:595, Name:Honore, Major:CS, Enrollment:Yes, Year:Senior, Age:28
ID:501, Name:Hollyann, Major:ABE, Enrollment:No, Year:Sophomore, Age:13
ID:181, Name:Imani, Major:CS, Enrollment:Yes, Year:Sophomore, Age:10
ID:492, Name:Iliyana, Major:ECE, Enrollment:Yes, Year:Freshman, Age:24
ID:187, Name:Ibtihaj, Major:IE, Enrollment:No, Year:Senior, Age:17
ID:358, Name:Janica, Major:AA, Enrollment:No, Year:Freshman, Age:25
ID:27, Name:Jaemeson, Major:BME, Enrollment:Yes, Year:Freshman, Age:16
ID:468, Name:Indee, Major:BME, Enrollment:No, Year:Junior, Age:12
ID:600, Name:Jaaziah, Major:ME, Enrollment:No, Year:Junior, Age:15
ID:311, Name:Issa, Major:BME, Enrollment:Yes, Year:Junior, Age:14
ID:461, Name:Inoke, Major:AA, Enrollment:Yes, Year:Senior, Age:21
ID:185, Name:Isla, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:23
ID:66, Name:Jahkobi, Major:ABE, Enrollment:Yes, Year:Senior, Age:13
ID:309, Name:Janese, Major:CHE, Enrollment:Yes, Year:Junior, Age:13
ID:444, Name:Jaken, Major:CS, Enrollment:Yes, Year:Freshman, Age:24
ID:218, Name:Jaira, Major:IE, Enrollment:No, Year:Senior, Age:14
ID:150, Name:Jaydyn, Major:CS, Enrollment:Yes, Year:Senior, Age:17
ID:457, Name:Jawaun, Major:CHE, Enrollment:Yes, Year:Junior, Age:29
ID:161, Name:Javonnie, Major:ME, Enrollment:Yes, Year:Junior, Age:14
ID:217, Name:Jasir, Major:BME, Enrollment:Yes, Year:Junior, Age:29
ID:228, Name:Januel, Major:ECE, Enrollment:Yes, Year:Senior, Age:10
ID:454, Name:Janvi, Major:ME, Enrollment:No, Year:Sophomore, Age:18
ID:248, Name:Jaycieon, Major:AA, Enrollment:Yes, Year:Senior, Age:23
ID:381, Name:Jaylee, Major:ECE, Enrollment:Yes, Year:Freshman, Age:26
ID:140, Name:Jeanna, Major:CS, Enrollment:Yes, Year:Sophomore, Age:13
ID:7, Name:Jcion, Major:ME, Enrollment:No, Year:Junior, Age:27
ID:62, Name:Karalina, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:10
ID:341, Name:Jesiah, Major:BME, Enrollment:Yes, Year:Freshman, Age:13
ID:312, Name:Jesi, Major:IE, Enrollment:Yes, Year:Senior, Age:29
ID:408, Name:Jersi, Major:AA, Enrollment:Yes, Year:Freshman, Age:29
ID:549, Name:Jeremiah, Major:CHE, Enrollment:No, Year:Freshman, Age:20
ID:243, Name:Jensen, Major:IE, Enrollment:No, Year:Senior, Age:25
ID:603, Name:Jeovany, Major:ME, Enrollment:No, Year:Senior, Age:12
ID:350, Name:Jerney, Major:CHE, Enrollment:No, Year:Freshman, Age:27
ID:609, Name:Jeriah, Major:ABE, Enrollment:No, Year:Senior, Age:19
ID:274, Name:Karai, Major:ME, Enrollment:No, Year:Junior, Age:16
ID:649, Name:Kamaiya, Major:CHE, Enrollment:Yes, Year:Junior, Age:22
ID:14, Name:Kaitlin, Major:ABE, Enrollment:No, Year:Senior, Age:29
ID:395, Name:Kairi, Major:IE, Enrollment:Yes, Year:Sophomore, Age:15
ID:133, Name:Kaine, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:29
ID:511, Name:Jhordan, Major:ME, Enrollment:No, Year:Sophomore, Age:19
ID:104, Name:Josceline, Major:CS, Enrollment:Yes, Year:Sophomore, Age:13
ID:635, Name:Jlynn, Major:IE, Enrollment:No, Year:Senior, Age:26
ID:500, Name:Jonathan, Major:CS, Enrollment:Yes, Year:Junior, Age:29
ID:110, Name:Jourden, Major:BME, Enrollment:No, Year:Junior, Age:27
ID:167, Name:Kahlani, Major:BME, Enrollment:Yes, Year:Freshman, Age:18
ID:507, Name:Juli, Major:ABE, Enrollment:Yes, Year:Junior, Age:18
ID:601, Name:Jovey, Major:AA, Enrollment:No, Year:Sophomore, Age:17
ID:157, Name:Kail, Major:BME, Enrollment:No, Year:Freshman, Age:10
ID:622, Name:Kalai, Major:ECE, Enrollment:No, Year:Sophomore, Age:13
ID:472, Name:Kalex, Major:CS, Enrollment:No, Year:Freshman, Age:12
ID:282, Name:Kani, Major:BME, Enrollment:Yes, Year:Senior, Age:22
ID:299, Name:Kamile, Major:IE, Enrollment:No, Year:Sophomore, Age:25
ID:91, Name:Kamara, Major:CS, Enrollment:Yes, Year:Junior, Age:28
ID:479, Name:Karon, Major:CHE, Enrollment:No, Year:Junior, Age:12
ID:265, Name:Karalina, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:12
ID:344, Name:Vincy, Major:AA, Enrollment:No, Year:Sophomore, Age:12
ID:623, Name:Risa, Major:BME, Enrollment:No, Year:Senior, Age:18
ID:543, Name:Liriel, Major:ABE, Enrollment:Yes, Year:Senior, Age:14
ID:416, Name:Kiari, Major:ABE, Enrollment:Yes, Year:Freshman, Age:20
ID:184, Name:Kavonte, Major:CS, Enrollment:No, Year:Sophomore, Age:23
ID:121, Name:Kataryna, Major:AA, Enrollment:Yes, Year:Freshman, Age:10
ID:5, Name:Katherine, Major:ECE, Enrollment:Yes, Year:Junior, Age:23
ID:109, Name:Kelen, Major:CHE, Enrollment:Yes, Year:Senior, Age:16
ID:361, Name:Kaylieann, Major:BME, Enrollment:No, Year:Freshman, Age:29
ID:215, Name:Kay, Major:BME, Enrollment:Yes, Year:Senior, Age:15
ID:235, Name:Kaycee, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:15
ID:591, Name:Kaylin, Major:BME, Enrollment:No, Year:Sophomore, Age:16
ID:587, Name:Keara, Major:AA, Enrollment:No, Year:Sophomore, Age:28
ID:360, Name:Kia, Major:CS, Enrollment:Yes, Year:Freshman, Age:26
ID:43, Name:Keylani, Major:CS, Enrollment:No, Year:Freshman, Age:27
ID:574, Name:Kemaya, Major:IE, Enrollment:No, Year:Sophomore, Age:17
ID:652, Name:Kenson, Major:ABE, Enrollment:No, Year:Sophomore, Age:25
ID:484, Name:Keno, Major:ME, Enrollment:No, Year:Freshman, Age:10
ID:107, Name:Kenyatta, Major:CS, Enrollment:No, Year:Freshman, Age:13
ID:528, Name:Kesha, Major:ABE, Enrollment:Yes, Year:Freshman, Age:12
ID:456, Name:Khalise, Major:CS, Enrollment:Yes, Year:Junior, Age:13
ID:18, Name:Khalei, Major:CS, Enrollment:No, Year:Sophomore, Age:25
ID:84, Name:Khiara, Major:CS, Enrollment:Yes, Year:Sophomore, Age:22
ID:483, Name:Lexxy, Major:BME, Enrollment:Yes, Year:Junior, Age:10
ID:102, Name:Kristian, Major:CS, Enrollment:No, Year:Senior, Age:22
ID:575, Name:Koralie, Major:CHE, Enrollment:No, Year:Senior, Age:11
ID:614, Name:Kimberlin, Major:ABE, Enrollment:No, Year:Senior, Age:25
ID:524, Name:Kinlei, Major:ME, Enrollment:Yes, Year:Freshman, Age:26
ID:256, Name:Klynn, Major:CS, Enrollment:No, Year:Senior, Age:10
ID:71, Name:Kiran, Major:CS, Enrollment:No, Year:Junior, Age:27
ID:292, Name:Klaudia, Major:IE, Enrollment:No, Year:Junior, Age:28
ID:505, Name:Korin, Major:ME, Enrollment:No, Year:Sophomore, Age:24
ID:87, Name:Kyran, Major:CHE, Enrollment:Yes, Year:Senior, Age:29
ID:95, Name:Kymberly, Major:BME, Enrollment:Yes, Year:Sophomore, Age:10
ID:72, Name:Kyliee, Major:CHE, Enrollment:No, Year:Freshman, Age:12
ID:275, Name:Krue, Major:BME, Enrollment:No, Year:Sophomore, Age:23
ID:563, Name:Kylea, Major:AA, Enrollment:No, Year:Sophomore, Age:12
ID:343, Name:Layia, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:13
ID:270, Name:Lauren, Major:BME, Enrollment:Yes, Year:Junior, Age:24
ID:421, Name:Lakyn, Major:CHE, Enrollment:Yes, Year:Senior, Age:29
ID:621, Name:Lannie, Major:AA, Enrollment:Yes, Year:Senior, Age:27
ID:427, Name:Laryah, Major:AA, Enrollment:No, Year:Senior, Age:23
ID:620, Name:Lera, Major:BME, Enrollment:No, Year:Sophomore, Age:12
ID:323, Name:Lillya, Major:CHE, Enrollment:No, Year:Senior, Age:18
ID:379, Name:Liannah, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:10
ID:55, Name:Palmer, Major:CHE, Enrollment:Yes, Year:Freshman, Age:26
ID:558, Name:Maryruth, Major:ECE, Enrollment:Yes, Year:Freshman, Age:26
ID:334, Name:Malone, Major:BME, Enrollment:Yes, Year:Senior, Age:21
ID:196, Name:Maki, Major:ABE, Enrollment:No, Year:Senior, Age:21
ID:548, Name:Lukin, Major:ABE, Enrollment:No, Year:Sophomore, Age:17
ID:169, Name:Livanna, Major:BME, Enrollment:Yes, Year:Sophomore, Age:18
ID:23, Name:Lorina, Major:CHE, Enrollment:Yes, Year:Senior, Age:18
ID:210, Name:Loden, Major:ME, Enrollment:Yes, Year:Senior, Age:21
ID:392, Name:Madelynne, Major:ME, Enrollment:No, Year:Freshman, Age:27
ID:192, Name:Maclean, Major:IE, Enrollment:No, Year:Senior, Age:11
ID:159, Name:Lyah, Major:ME, Enrollment:Yes, Year:Freshman, Age:23
ID:656, Name:Luthien, Major:IE, Enrollment:Yes, Year:Freshman, Age:17
ID:26, Name:Lynox, Major:ABE, Enrollment:Yes, Year:Junior, Age:14
ID:478, Name:Maali, Major:BME, Enrollment:Yes, Year:Freshman, Age:12
ID:582, Name:Lyonel, Major:ME, Enrollment:No, Year:Sophomore, Age:27
ID:266, Name:Makel, Major:BME, Enrollment:No, Year:Senior, Age:15
ID:624, Name:Maecee, Major:AA, Enrollment:Yes, Year:Sophomore, Age:22
ID:589, Name:Maesen, Major:CHE, Enrollment:Yes, Year:Freshman, Age:22
ID:405, Name:Maisha, Major:ECE, Enrollment:No, Year:Sophomore, Age:20
ID:515, Name:Maksymilian, Major:ABE, Enrollment:No, Year:Sophomore, Age:29
ID:39, Name:Makinzie, Major:IE, Enrollment:No, Year:Sophomore, Age:15
ID:200, Name:Manuella, Major:IE, Enrollment:No, Year:Senior, Age:12
ID:349, Name:Mana, Major:BME, Enrollment:No, Year:Junior, Age:24
ID:171, Name:Margaux, Major:IE, Enrollment:No, Year:Freshman, Age:13
ID:612, Name:Marlen, Major:ME, Enrollment:Yes, Year:Senior, Age:13
ID:287, Name:Myheir, Major:CS, Enrollment:No, Year:Junior, Age:24
ID:198, Name:May, Major:BME, Enrollment:Yes, Year:Freshman, Age:20
ID:451, Name:Maven, Major:IE, Enrollment:Yes, Year:Senior, Age:13
ID:230, Name:Miarose, Major:IE, Enrollment:No, Year:Senior, Age:12
ID:390, Name:Meir, Major:IE, Enrollment:No, Year:Junior, Age:21
ID:244, Name:Mehreen, Major:ABE, Enrollment:No, Year:Sophomore, Age:29
ID:15, Name:Mayte, Major:BME, Enrollment:No, Year:Junior, Age:25
ID:69, Name:Meyer, Major:AA, Enrollment:No, Year:Sophomore, Age:27
ID:41, Name:Mesiah, Major:AA, Enrollment:No, Year:Sophomore, Age:29
ID:212, Name:Molleigh, Major:ABE, Enrollment:Yes, Year:Junior, Age:28
ID:97, Name:Milad, Major:BME, Enrollment:No, Year:Freshman, Age:16
ID:351, Name:Mikiyah, Major:CS, Enrollment:No, Year:Senior, Age:19
ID:221, Name:Millan, Major:AA, Enrollment:No, Year:Senior, Age:10
ID:463, Name:Mycah, Major:ECE, Enrollment:No, Year:Senior, Age:19
ID:141, Name:Moosa, Major:BME, Enrollment:Yes, Year:Junior, Age:25
ID:261, Name:Moses, Major:AA, Enrollment:Yes, Year:Sophomore, Age:12
ID:513, Name:Murari, Major:ECE, Enrollment:Yes, Year:Senior, Age:27
ID:553, Name:Novalei, Major:ECE, Enrollment:No, Year:Sophomore, Age:15
ID:53, Name:Nino, Major:BME, Enrollment:Yes, Year:Freshman, Age:22
ID:593, Name:Nakita, Major:ABE, Enrollment:No, Year:Sophomore, Age:13
ID:148, Name:Nadav, Major:ECE, Enrollment:No, Year:Sophomore, Age:23
ID:289, Name:Nicha, Major:BME, Enrollment:No, Year:Sophomore, Age:14
ID:355, Name:Nandhan, Major:ABE, Enrollment:Yes, Year:Senior, Age:14
ID:516, Name:Negan, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:19
ID:493, Name:Naria, Major:IE, Enrollment:No, Year:Freshman, Age:28
ID:583, Name:Nathalia, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:26
ID:551, Name:Nation, Major:ABE, Enrollment:No, Year:Junior, Age:15
ID:75, Name:Navi, Major:ME, Enrollment:No, Year:Freshman, Age:26
ID:98, Name:Neil, Major:ME, Enrollment:No, Year:Junior, Age:28
ID:338, Name:Noe, Major:ME, Enrollment:Yes, Year:Senior, Age:14
ID:207, Name:Nola, Major:ME, Enrollment:Yes, Year:Junior, Age:26
ID:36, Name:Paij, Major:AA, Enrollment:Yes, Year:Junior, Age:11
ID:645, Name:Oluwatise, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:23
