ID:720, Name:Reiley, Major:AA, Enrollment:Yes, Year:Sophomore, Age:25
ID:311, Name:Annasophia, Major:CS, Enrollment:Yes, Year:Sophomore, Age:19
ID:623, Name:Chaynce, Major:BME, Enrollment:No, Year:Senior, Age:19
ID:213, Name:Sebastyan, Major:ME, Enrollment:No, Year:Sophomore, Age:19
ID:89, Name:Maire, Major:ME, Enrollment:Yes, Year:Senior, Age:19
ID:287, Name:Caitlin, Major:AA, Enrollment:No, Year:Freshman, Age:19
ID:599, Name:Hovhannes, Major:CS, Enrollment:No, Year:Senior, Age:19
ID:41, Name:Susannah, Major:CS, Enrollment:Yes, Year:Junior, Age:20
ID:256, Name:Calvin, Major:ME, Enrollment:No, Year:Senior, Age:20
ID:564, Name:Denia, Major:BME, Enrollment:Yes, Year:Freshman, Age:20
ID:683, Name:Helene, Major:IE, Enrollment:No, Year:Sophomore, Age:20
ID:260, Name:Sammi, Major:ECE, Enrollment:No, Year:Junior, Age:20
ID:688, Name:Zyon, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:20
ID:602, Name:Vaishvi, Major:ME, Enrollment:Yes, Year:Sophomore, Age:20
ID:283, Name:Skylyn, Major:BME, Enrollment:Yes, Year:Senior, Age:20
ID:539, Name:Lincoln, Major:BME, Enrollment:Yes, Year:Senior, Age:20
ID:166, Name:Seema, Major:CHE, Enrollment:Yes, Year:Sophomore, Age:20
ID:502, Name:Calum, Major:CHE, Enrollment:Yes, Year:Junior, Age:20
ID:536, Name:Savino, Major:CHE, Enrollment:Yes, Year:Freshman, Age:20
ID:195, Name:Greenleigh, Major:IE, Enrollment:No, Year:Sophomore, Age:20
ID:205, Name:Candice, Major:IE, Enrollment:No, Year:Junior, Age:20
ID:203, Name:Keston, Major:CHE, Enrollment:No, Year:Senior, Age:20
ID:486, Name:Daziyah, Major:ABE, Enrollment:Yes, Year:Senior, Age:20
ID:371, Name:Adallyn, Major:ME, Enrollment:Yes, Year:Senior, Age:20
ID:713, Name:Olivea, Major:ABE, Enrollment:Yes, Year:Freshman, Age:20
ID:236, Name:Keedan, Major:BME, Enrollment:Yes, Year:Senior, Age:20
ID:586, Name:Kenidee, Major:ABE, Enrollment:No, Year:Junior, Age:21
ID:98, Name:Millani, Major:BME, Enrollment:Yes, Year:Freshman, Age:21
ID:511, Name:Meiling, Major:CHE, Enrollment:Yes, Year:Freshman, Age:21
ID:561, Name:Sabryna, Major:ME, Enrollment:Yes, Year:Sophomore, Age:21
ID:401, Name:Thabit, Major:BME, Enrollment:Yes, Year:Sophomore, Age:21
ID:293, Name:Naelani, Major:IE, Enrollment:Yes, Year:Sophomore, Age:21
ID:592, Name:Nailee, Major:ABE, Enrollment:Yes, Year:Freshman, Age:21
ID:47, Name:Ezekiel, Major:IE, Enrollment:Yes, Year:Junior, Age:21
ID:550, Name:Graciee, Major:ECE, Enrollment:No, Year:Junior, Age:21
ID:142, Name:Kyana, Major:CS, Enrollment:Yes, Year:Sophomore, Age:21
ID:480, Name:Aylin, Major:CS, Enrollment:Yes, Year:Freshman, Age:21
ID:634, Name:Broxton, Major:AA, Enrollment:No, Year:Senior, Age:21
ID:346, Name:Jermiyah, Major:ECE, Enrollment:No, Year:Freshman, Age:21
ID:474, Name:Kashish, Major:IE, Enrollment:No, Year:Sophomore, Age:21
ID:493, Name:Adeoluwa, Major:CHE, Enrollment:Yes, Year:Freshman, Age:22
ID:100, Name:Meili, Major:ABE, Enrollment:No, Year:Sophomore, Age:21
ID:171, Name:Denarius, Major:AA, Enrollment:No, Year:Freshman, Age:21
ID:490, Name:Malon, Major:CS, Enrollment:Yes, Year:Junior, Age:22
ID:67, Name:Tramon, Major:ABE, Enrollment:Yes, Year:Junior, Age:21
ID:39, Name:Safina, Major:CHE, Enrollment:Yes, Year:Senior, Age:22
ID:454, Name:Siraj, Major:CHE, Enrollment:No, Year:Junior, Age:22
ID:615, Name:Nneoma, Major:IE, Enrollment:No, Year:Freshman, Age:22
ID:289, Name:Nicoletta, Major:ECE, Enrollment:No, Year:Freshman, Age:22
ID:335, Name:Golden, Major:ECE, Enrollment:Yes, Year:Junior, Age:22
ID:629, Name:Teonna, Major:AA, Enrollment:Yes, Year:Freshman, Age:22
ID:659, Name:Yanelly, Major:ABE, Enrollment:No, Year:Junior, Age:22
ID:344, Name:Sidarth, Major:ABE, Enrollment:Yes, Year:Sophomore, Age:22
ID:224, Name:Kallin, Major:ECE, Enrollment:No, Year:Junior, Age:22
ID:557, Name:Azekiel, Major:CHE, Enrollment:No, Year:Sophomore, Age:22
ID:641, Name:Emalea, Major:ABE, Enrollment:Yes, Year:Junior, Age:22
ID:649, Name:Gavino, Major:ABE, Enrollment:Yes, Year:Senior, Age:22
ID:364, Name:Jarren, Major:AA, Enrollment:No, Year:Senior, Age:22
ID:680, Name:Berkleigh, Major:AA, Enrollment:Yes, Year:Junior, Age:22
ID:686, Name:Benjamim, Major:CHE, Enrollment:No, Year:Freshman, Age:22
ID:600, Name:Delphine, Major:AA, Enrollment:No, Year:Freshman, Age:22
ID:515, Name:Elke, Major:CS, Enrollment:Yes, Year:Junior, Age:22
ID:450, Name:Teyla, Major:BME, Enrollment:Yes, Year:Sophomore, Age:22
ID:388, Name:Aries, Major:ME, Enrollment:No, Year:Freshman, Age:22
ID:607, Name:Saija, Major:ABE, Enrollment:No, Year:Senior, Age:22
ID:546, Name:Tinzley, Major:CHE, Enrollment:No, Year:Freshman, Age:23
ID:30, Name:Lucielle, Major:AA, Enrollment:No, Year:Junior, Age:23
ID:9, Name:Illianna, Major:CHE, Enrollment:No, Year:Sophomore, Age:23
ID:556, Name:Audrena, Major:ME, Enrollment:No, Year:Junior, Age:23
ID:501, Name:Linsy, Major:ABE, Enrollment:No, Year:Senior, Age:23
ID:497, Name:Nikola, Major:CHE, Enrollment:Yes, Year:Junior, Age:24
ID:365, Name:Soteria, Major:AA, Enrollment:Yes, Year:Junior, Age:23
ID:442, Name:Grayton, Major:ME, Enrollment:No, Year:Sophomore, Age:23
ID:411, Name:Kamaal, Major:ECE, Enrollment:No, Year:Junior, Age:23
ID:321, Name:Shrita, Major:CS, Enrollment:Yes, Year:Senior, Age:23
ID:429, Name:Mumtahina, Major:ECE, Enrollment:No, Year:Junior, Age:23
ID:176, Name:Gerver, Major:BME, Enrollment:No, Year:Freshman, Age:23
ID:173, Name:Henrick, Major:ME, Enrollment:No, Year:Junior, Age:23
ID:397, Name:Hendy, Major:IE, Enrollment:Yes, Year:Freshman, Age:23
ID:226, Name:Rhyla, Major:CHE, Enrollment:No, Year:Senior, Age:24
ID:48, Name:Kensey, Major:CHE, Enrollment:No, Year:Freshman, Age:23
ID:269, Name:Shivan, Major:CS, Enrollment:Yes, Year:Sophomore, Age:23
ID:58, Name:Eddison, Major:BME, Enrollment:No, Year:Freshman, Age:23
ID:56, Name:Taegan, Major:CS, Enrollment:No, Year:Freshman, Age:23
ID:535, Name:Siriah, Major:CHE, Enrollment:No, Year:Senior, Age:24
ID:455, Name:Myreen, Major:CS, Enrollment:Yes, Year:Freshman, Age:23
ID:360, Name:Johnae, Major:CHE, Enrollment:No, Year:Junior, Age:24
ID:259, Name:Dorien, Major:BME, Enrollment:Yes, Year:Freshman, Age:24
ID:271, Name:Quillan, Major:CHE, Enrollment:Yes, Year:Senior, Age:24
ID:270, Name:Jehiel, Major:IE, Enrollment:Yes, Year:Junior, Age:24
ID:559, Name:Kayal, Major:IE, Enrollment:No, Year:Sophomore, Age:25
ID:35, Name:Temidayo, Major:ECE, Enrollment:Yes, Year:Senior, Age:24
ID:110, Name:Joselynn, Major:ECE, Enrollment:No, Year:Senior, Age:24
ID:569, Name:Luella, Major:CS, Enrollment:Yes, Year:Junior, Age:24
ID:435, Name:Alie, Major:AA, Enrollment:Yes, Year:Freshman, Age:24
ID:419, Name:Firdaws, Major:IE, Enrollment:Yes, Year:Junior, Age:24
ID:63, Name:Jayvin, Major:ECE, Enrollment:Yes, Year:Junior, Age:24
ID:526, Name:Onesimo, Major:ECE, Enrollment:Yes, Year:Freshman, Age:24
ID:689, Name:Allaina, Major:ECE, Enrollment:Yes, Year:Senior, Age:25
ID:672, Name:Sena, Major:ECE, Enrollment:No, Year:Sophomore, Age:25
ID:712, Name:Jahari, Major:ECE, Enrollment:Yes, Year:Senior, Age:25
ID:553, Name:Jasyah, Major:ABE, Enrollment:Yes, Year:Junior, Age:27
ID:295, Name:Booker, Major:BME, Enrollment:No, Year:Sophomore, Age:26
ID:157, Name:Kayleen, Major:IE, Enrollment:No, Year:Freshman, Age:26
ID:387, Name:Dillen, Major:AA, Enrollment:Yes, Year:Junior, Age:25
ID:320, Name:Palyn, Major:IE, Enrollment:No, Year:Junior, Age:25
ID:177, Name:Tasha, Major:ECE, Enrollment:Yes, Year:Sophomore, Age:25
ID:57, Name:Koltin, Major:CS, Enrollment:Yes, Year:Junior, Age:25
ID:245, Name:Lillah, Major:IE, Enrollment:No, Year:Freshman, Age:25
ID:75, Name:Durga, Major:ABE, Enrollment:Yes, Year:Junior, Age:25
ID:81, Name:Calli, Major:BME, Enrollment:Yes, Year:Freshman, Age:25
ID:495, Name:Pryce, Major:ECE, Enrollment:No, Year:Sophomore, Age:25
ID:42, Name:Annette, Major:BME, Enrollment:No, Year:Sophomore, Age:25
ID:14, Name:Arianni, Major:BME, Enrollment:Yes, Year:Freshman, Age:25
ID:452, Name:Snyder, Major:AA, Enrollment:No, Year:Sophomore, Age:25
ID:10, Name:Kaiulani, Major:BME, Enrollment:Yes, Year:Sophomore, Age:25
ID:169, Name:Averee, Major:CHE, Enrollment:Yes, Year:Senior, Age:26
ID:315, Name:Jahquan, Major:ABE, Enrollment:No, Year:Freshman, Age:25
